departamento_hecho|lugar_zona|anio_inicio|hechos_continuan|amenaza_carta|cluster
Antioquia|Rural|1960|0|0|1
Antioquia|Rural|1982|0|0|1
Antioquia|Rural|1994|0|0|1
Antioquia|Urbana|2014|0|0|0
Antioquia|Rural|2007|0|0|1
Antioquia|Rural|1988|0|0|1
Antioquia|Rural|2004|0|0|1
Antioquia|Rural|1988|0|0|1
Antioquia|Rural|1980|0|0|1
Antioquia|Urbana|2012|0|0|0
Antioquia|Rural|2017|0|0|1
Antioquia|Rural|2015|0|0|1
Antioquia|Rural|2015|0|0|1
Antioquia|Rural|1996|0|0|1
Antioquia|Rural|2005|0|0|1
Antioquia|Urbana|1992|0|0|0
Antioquia|Rural|1999|0|0|1
Antioquia|Rural|1943|0|0|1
Antioquia|Rural|2017|0|0|1
Antioquia|Rural|1961|0|0|1
Antioquia|Rural|1963|0|0|1
Antioquia|Urbana|1999|0|0|0
Antioquia|Rural|1950|0|0|1
Antioquia|Rural|1955|0|0|1
Antioquia|Rural|1971|0|0|1
Antioquia|Urbana|1951|0|0|0
Antioquia|Rural|2001|0|0|1
Antioquia|Rural|2010|0|0|1
Antioquia|Rural|1948|0|0|1
Antioquia|Rural|1988|0|0|1
Antioquia|Rural|2006|0|0|1
Antioquia|Urbana|1954|0|0|0
Antioquia|Rural|2000|0|0|1
Antioquia|Rural|2020|0|0|1
Antioquia|Rural|1962|0|0|1
Antioquia|Urbana|1996|0|0|0
Antioquia|Rural|1983|0|0|1
Antioquia|Rural|1982|0|0|1
Antioquia|Rural|1967|0|0|1
Antioquia|Rural|1994|0|0|1
Antioquia|Rural|1972|0|0|1
Antioquia|Urbana|1999|0|0|0
Antioquia|Rural|1940|0|0|1
Antioquia|Rural|2012|0|0|1
Antioquia|Rural|2006|0|0|1
Arauca|Urbana|1943|0|0|0
Arauca|Rural|1954|0|0|1
Arauca|Rural|1976|0|0|1
Arauca|Rural|2013|0|0|1
Arauca|Rural|1945|0|0|1
Arauca|Rural|1991|0|0|1
Arauca|Urbana|2005|0|0|0
Archipiélago De San Andrés, Providencia Y Santa Catalina|Rural|1957|0|0|1
Archipiélago De San Andrés, Providencia Y Santa Catalina|Rural|1984|0|0|1
Atlántico|Rural|2017|0|0|1
Atlántico|Urbana|1959|0|0|0
Atlántico|Rural|1971|0|0|1
Atlántico|Rural|2016|0|0|1
Atlántico|Rural|1972|0|0|1
Atlántico|Rural|1998|0|0|1
Bogotá|Rural|1944|0|0|1
Bogotá|Urbana|2001|0|0|0
Bolívar|Rural|1962|0|0|1
Bolívar|Rural|1989|0|0|1
Bolívar|Rural|1976|0|0|1
Bolívar|Urbana|1975|0|0|0
Bolívar|Rural|1981|0|0|1
Bolívar|Rural|1992|0|0|1
Bolívar|Rural|1974|0|0|1
Bolívar|Rural|1961|0|0|1
Bolívar|Rural|1975|0|0|1
Bolívar|Urbana|1988|0|0|0
Bolívar|Rural|1988|0|0|1
Bolívar|Rural|1973|0|0|1
Bolívar|Rural|1957|0|0|1
Bolívar|Urbana|1979|0|0|0
Bolívar|Rural|1968|0|0|1
Bolívar|Rural|2014|0|0|1
Bolívar|Rural|1984|0|0|1
Bolívar|Rural|1944|0|0|1
Bolívar|Rural|2003|0|0|1
Bolívar|Urbana|1944|0|0|0
Bolívar|Rural|1968|0|0|1
Bolívar|Rural|1995|0|0|1
Bolívar|Rural|1966|0|0|1
Bolívar|Urbana|1942|0|0|0
Bolívar|Rural|1959|0|0|1
Bolívar|Rural|1993|0|0|1
Bolívar|Rural|1976|0|0|1
Bolívar|Rural|1976|0|0|1
Bolívar|Rural|1972|0|0|1
Bolívar|Urbana|2016|0|0|0
Boyacá|Rural|2008|0|0|1
Boyacá|Rural|2007|0|0|1
Boyacá|Rural|1988|0|0|1
Boyacá|Urbana|1971|0|0|0
Boyacá|Rural|2011|0|0|1
Boyacá|Rural|1952|0|0|1
Boyacá|Rural|1957|0|0|1
Boyacá|Rural|2014|0|0|1
Boyacá|Rural|1992|0|0|1
Boyacá|Urbana|1966|0|0|0
Boyacá|Rural|1984|0|0|1
Boyacá|Rural|1975|0|0|1
Boyacá|Rural|2019|0|0|1
Boyacá|Urbana|2017|0|0|0
Boyacá|Rural|1947|0|0|1
Boyacá|Rural|1969|0|0|1
Boyacá|Rural|1954|0|0|1
Boyacá|Rural|1947|0|0|1
Boyacá|Rural|1962|0|0|1
Boyacá|Urbana|1949|0|0|0
Boyacá|Rural|2015|0|0|1
Boyacá|Rural|2018|0|0|1
Boyacá|Rural|2020|0|0|1
Boyacá|Urbana|1983|0|0|0
Boyacá|Rural|1994|0|0|1
Boyacá|Rural|1961|0|0|1
Boyacá|Rural|1959|0|0|1
Boyacá|Rural|1999|0|0|1
Boyacá|Rural|1963|0|0|1
Boyacá|Urbana|2000|0|0|0
Boyacá|Rural|1951|0|0|1
Boyacá|Rural|1943|0|0|1
Boyacá|Rural|2010|0|0|1
Boyacá|Urbana|1972|0|0|0
Boyacá|Rural|1940|0|0|1
Boyacá|Rural|1959|0|0|1
Caldas|Rural|1969|0|0|1
Caldas|Rural|1944|0|0|1
Caldas|Rural|1966|0|0|1
Caldas|Urbana|1990|0|0|0
Caldas|Rural|2020|0|0|1
Caldas|Rural|1944|0|0|1
Caldas|Rural|1992|0|0|1
Caldas|Urbana|1987|0|0|0
Caldas|Rural|1976|0|0|1
Caldas|Rural|1950|0|0|1
Caldas|Rural|1991|0|0|1
Caldas|Rural|1983|0|0|1
Caldas|Rural|1960|0|0|1
Caldas|Urbana|2003|0|0|0
Caldas|Rural|1974|0|0|1
Caldas|Rural|1983|0|0|1
Caldas|Rural|2020|0|0|1
Caldas|Urbana|1984|0|0|0
Caldas|Rural|2020|0|0|1
Caldas|Rural|1997|0|0|1
Caldas|Rural|1987|0|0|1
Caldas|Rural|2016|0|0|1
Caldas|Rural|1990|0|0|1
Caquetá|Urbana|1958|0|0|0
Caquetá|Rural|1942|0|0|1
Caquetá|Rural|2005|0|0|1
Caquetá|Rural|2000|0|0|1
Caquetá|Urbana|2011|0|0|0
Caquetá|Rural|1946|0|0|1
Caquetá|Rural|1952|0|0|1
Caquetá|Rural|2013|0|0|1
Caquetá|Rural|1983|0|0|1
Caquetá|Rural|1984|0|0|1
Caquetá|Urbana|1958|0|0|0
Caquetá|Rural|1941|0|0|1
Caquetá|Rural|1961|0|0|1
Caquetá|Rural|1966|0|0|1
Caquetá|Urbana|2010|0|0|0
Caquetá|Rural|1950|0|0|1
Caquetá|Rural|1972|0|0|1
Casanare|Rural|1948|0|0|1
Casanare|Rural|1977|0|0|1
Casanare|Rural|1978|0|0|1
Casanare|Urbana|1963|0|0|0
Casanare|Rural|1965|0|0|1
Casanare|Rural|1983|0|0|1
Casanare|Rural|1974|0|0|1
Casanare|Urbana|1960|0|0|0
Casanare|Rural|1944|0|0|1
Casanare|Rural|1988|0|0|1
Casanare|Rural|2002|0|0|1
Casanare|Rural|1973|0|0|1
Casanare|Rural|1975|0|0|1
Casanare|Urbana|1962|0|0|0
Casanare|Rural|1964|0|0|1
Casanare|Rural|2011|0|0|1
Casanare|Rural|1955|0|0|1
Casanare|Urbana|1962|0|0|0
Casanare|Rural|1957|0|0|1
Casanare|Rural|1998|0|0|1
Cauca|Rural|1978|0|0|1
Cauca|Rural|2007|0|0|1
Cauca|Rural|1958|0|0|1
Cauca|Urbana|1971|0|0|0
Cauca|Rural|1947|0|0|1
Cauca|Rural|1941|0|0|1
Cauca|Rural|2006|0|0|1
Cauca|Urbana|1954|0|0|0
Cauca|Rural|1974|0|0|1
Cauca|Rural|1963|0|0|1
Cauca|Rural|1955|0|0|1
Cauca|Rural|1948|0|0|1
Cauca|Rural|1952|0|0|1
Cauca|Urbana|1968|0|0|0
Cauca|Rural|1948|0|0|1
Cauca|Rural|1975|0|0|1
Cauca|Rural|2020|0|0|1
Cauca|Urbana|1979|0|0|0
Cauca|Rural|1952|0|0|1
Cauca|Rural|2014|0|0|1
Cauca|Rural|2012|0|0|1
Cauca|Rural|2000|0|0|1
Cauca|Rural|1990|0|0|1
Cauca|Urbana|1951|0|0|0
Cauca|Rural|1940|0|0|1
Cauca|Rural|2014|0|0|1
Cauca|Rural|1946|0|0|1
Cauca|Urbana|1958|0|0|0
Cauca|Rural|1967|0|0|1
Cauca|Rural|1955|0|0|1
Cauca|Rural|1973|0|0|1
Cauca|Rural|2012|0|0|1
Cauca|Rural|1950|0|0|1
Cauca|Urbana|2016|0|0|0
Cauca|Rural|1961|0|0|1
Cauca|Rural|1992|0|0|1
Cauca|Rural|1976|0|0|1
Cauca|Urbana|1985|0|0|0
Cauca|Rural|2001|0|0|1
Cauca|Rural|2013|0|0|1
Cauca|Rural|1963|0|0|1
Cauca|Rural|1977|0|0|1
Cauca|Rural|1952|0|0|1
Cesar|Urbana|1966|0|0|0
Cesar|Rural|1961|0|0|1
Cesar|Rural|1978|0|0|1
Cesar|Rural|2018|0|0|1
Cesar|Urbana|2000|0|0|0
Cesar|Rural|1968|0|0|1
Cesar|Rural|1946|0|0|1
Cesar|Rural|1952|0|0|1
Cesar|Rural|1967|0|0|1
Cesar|Rural|1943|0|0|1
Cesar|Urbana|1978|0|0|0
Cesar|Rural|1987|0|0|1
Cesar|Rural|1992|0|0|1
Cesar|Rural|1973|0|0|1
Cesar|Urbana|1961|0|0|0
Cesar|Rural|2013|0|0|1
Cesar|Rural|1979|0|0|1
Cesar|Rural|1958|0|0|1
Cesar|Rural|1953|0|0|1
Cesar|Rural|2015|0|0|1
Cesar|Urbana|1966|0|0|0
Cesar|Rural|1996|0|0|1
Cesar|Rural|1962|0|0|1
Cesar|Rural|1993|0|0|1
Cesar|Urbana|1940|0|0|0
Cesar|Rural|1953|0|0|1
Chocó|Rural|2000|0|0|1
Chocó|Rural|2019|0|0|1
Chocó|Rural|1960|0|0|1
Chocó|Rural|1983|0|0|1
Chocó|Urbana|1941|0|0|0
Chocó|Rural|2012|0|0|1
Chocó|Rural|1984|0|0|1
Chocó|Rural|1958|0|0|1
Chocó|Urbana|2002|0|0|0
Chocó|Rural|1983|0|0|1
Chocó|Rural|1987|0|0|1
Chocó|Rural|1986|0|0|1
Chocó|Rural|1942|0|0|1
Chocó|Rural|1954|0|0|1
Chocó|Urbana|2016|0|0|0
Chocó|Rural|2018|0|0|1
Chocó|Rural|2020|0|0|1
Chocó|Rural|2000|0|0|1
Chocó|Urbana|1940|0|0|0
Chocó|Rural|2004|0|0|1
Chocó|Rural|1966|0|0|1
Chocó|Rural|2002|0|0|1
Chocó|Rural|1944|0|0|1
Chocó|Rural|2012|0|0|1
Chocó|Urbana|2020|0|0|0
Chocó|Rural|2007|0|0|1
Chocó|Rural|1975|0|0|1
Cundinamarca|Rural|2016|0|0|1
Cundinamarca|Urbana|1947|0|0|0
Cundinamarca|Rural|1948|0|0|1
Cundinamarca|Rural|1972|0|0|1
Cundinamarca|Rural|2007|0|0|1
Cundinamarca|Rural|2020|0|0|1
Cundinamarca|Rural|1982|0|0|1
Cundinamarca|Urbana|1981|0|0|0
Cundinamarca|Rural|1947|0|0|1
Cundinamarca|Rural|1961|0|0|1
Cundinamarca|Rural|1998|0|0|1
Cundinamarca|Urbana|2011|0|0|0
Cundinamarca|Rural|1999|0|0|1
Cundinamarca|Rural|1962|0|0|1
Cundinamarca|Rural|2002|0|0|1
Cundinamarca|Rural|1948|0|0|1
Cundinamarca|Rural|2018|0|0|1
Cundinamarca|Urbana|1944|0|0|0
Cundinamarca|Rural|1981|0|0|1
Cundinamarca|Rural|1950|0|0|1
Cundinamarca|Rural|2020|0|0|1
Cundinamarca|Urbana|2015|0|0|0
Cundinamarca|Rural|1966|0|0|1
Cundinamarca|Rural|1977|0|0|1
Cundinamarca|Rural|1969|0|0|1
Cundinamarca|Rural|1942|0|0|1
Cundinamarca|Rural|1998|0|0|1
Cundinamarca|Urbana|1955|0|0|0
Cundinamarca|Rural|1956|0|0|1
Cundinamarca|Rural|1983|0|0|1
Cundinamarca|Rural|1992|0|0|1
Cundinamarca|Urbana|1974|0|0|0
Cundinamarca|Rural|2010|0|0|1
Cundinamarca|Rural|1994|0|0|1
Cundinamarca|Rural|1999|0|0|1
Cundinamarca|Rural|2019|0|0|1
Cundinamarca|Rural|1952|0|0|1
Cundinamarca|Urbana|1969|0|0|0
Cundinamarca|Rural|1947|0|0|1
Cundinamarca|Rural|1945|0|0|1
Cundinamarca|Rural|1988|0|0|1
Cundinamarca|Urbana|2012|0|0|0
Cundinamarca|Rural|1955|0|0|1
Cundinamarca|Rural|2004|0|0|1
Cundinamarca|Rural|1965|0|0|1
Córdoba|Rural|1940|0|0|1
Córdoba|Rural|2008|0|0|1
Córdoba|Urbana|2003|0|0|0
Córdoba|Rural|1978|0|0|1
Córdoba|Rural|1980|0|0|1
Córdoba|Rural|1969|0|0|1
Córdoba|Urbana|1975|0|0|0
Córdoba|Rural|1971|0|0|1
Córdoba|Rural|1962|0|0|1
Córdoba|Rural|2018|0|0|1
Córdoba|Rural|1982|0|0|1
Córdoba|Rural|1947|0|0|1
Córdoba|Urbana|2005|0|0|0
Córdoba|Rural|1941|0|0|1
Córdoba|Rural|1964|0|0|1
Córdoba|Rural|1950|0|0|1
Córdoba|Urbana|1966|0|0|0
Córdoba|Rural|2008|0|0|1
Córdoba|Rural|1965|0|0|1
Guainía|Rural|2009|0|0|1
Guainía|Rural|2010|0|0|1
Guainía|Rural|1954|0|0|1
Guainía|Urbana|2009|0|0|0
Guainía|Rural|1966|0|0|1
Guaviare|Rural|1949|0|0|1
Guaviare|Rural|1941|0|0|1
Guaviare|Urbana|1982|0|0|0
Guaviare|Rural|1947|0|0|1
Guaviare|Rural|2001|0|0|1
Huila|Rural|1999|0|0|1
Huila|Rural|2016|0|0|1
Huila|Rural|1985|0|0|1
Huila|Urbana|2012|0|0|0
Huila|Rural|1944|0|0|1
Huila|Rural|1944|0|0|1
Huila|Rural|1997|0|0|1
Huila|Urbana|1946|0|0|0
Huila|Rural|1955|0|0|1
Huila|Rural|2019|0|0|1
Huila|Rural|1941|0|0|1
Huila|Rural|1998|0|0|1
Huila|Rural|2001|0|0|1
Huila|Urbana|2011|0|0|0
Huila|Rural|2019|0|0|1
Huila|Rural|1943|0|0|1
Huila|Rural|1943|0|0|1
Huila|Urbana|1982|0|0|0
Huila|Rural|1943|0|0|1
Huila|Rural|1987|0|0|1
Huila|Rural|1945|0|0|1
Huila|Rural|2008|0|0|1
Huila|Rural|2016|0|0|1
Huila|Urbana|1953|0|0|0
Huila|Rural|1999|0|0|1
Huila|Rural|1969|0|0|1
Huila|Rural|1982|0|0|1
Huila|Urbana|1997|0|0|0
Huila|Rural|1974|0|0|1
Huila|Rural|1970|0|0|1
Huila|Rural|1967|0|0|1
Huila|Rural|1962|0|0|1
Huila|Rural|1955|0|0|1
Huila|Urbana|2006|0|0|0
Huila|Rural|1953|0|0|1
La Guajira|Rural|2011|0|0|1
La Guajira|Rural|1964|0|0|1
La Guajira|Urbana|1960|0|0|0
La Guajira|Rural|2004|0|0|1
La Guajira|Rural|2020|0|0|1
La Guajira|Rural|1942|0|0|1
La Guajira|Rural|2004|0|0|1
La Guajira|Rural|1940|0|0|1
La Guajira|Urbana|1976|0|0|0
La Guajira|Rural|1958|0|0|1
La Guajira|Rural|1961|0|0|1
La Guajira|Rural|2000|0|0|1
La Guajira|Urbana|2007|0|0|0
La Guajira|Rural|1951|0|0|1
La Guajira|Rural|1957|0|0|1
Magdalena|Rural|1967|0|0|1
Magdalena|Rural|2017|0|0|1
Magdalena|Rural|1983|0|0|1
Magdalena|Urbana|1977|0|0|0
Magdalena|Rural|1941|0|0|1
Magdalena|Rural|1950|0|0|1
Magdalena|Rural|1970|0|0|1
Magdalena|Urbana|1964|0|0|0
Magdalena|Rural|2014|0|0|1
Magdalena|Rural|1975|0|0|1
Magdalena|Rural|1991|0|0|1
Magdalena|Rural|1979|0|0|1
Magdalena|Rural|1942|0|0|1
Magdalena|Urbana|1958|0|0|0
Magdalena|Rural|2015|0|0|1
Magdalena|Rural|2019|0|0|1
Magdalena|Rural|2012|0|0|1
Magdalena|Urbana|1986|0|0|0
Magdalena|Rural|1999|0|0|1
Magdalena|Rural|1991|0|0|1
Magdalena|Rural|2019|0|0|1
Magdalena|Rural|1947|0|0|1
Meta|Rural|1957|0|0|1
Meta|Urbana|2001|0|0|0
Meta|Rural|1992|0|0|1
Meta|Rural|1989|0|0|1
Meta|Rural|2006|0|0|1
Meta|Urbana|2004|0|0|0
Meta|Rural|1972|0|0|1
Meta|Rural|1985|0|0|1
Meta|Rural|1956|0|0|1
Meta|Rural|1953|0|0|1
Meta|Rural|1983|0|0|1
Meta|Urbana|1975|0|0|0
Meta|Rural|1994|0|0|1
Meta|Rural|1943|0|0|1
Meta|Rural|1951|0|0|1
Meta|Urbana|1959|0|0|0
Meta|Rural|1957|0|0|1
Meta|Rural|1960|0|0|1
Meta|Rural|1981|0|0|1
Meta|Rural|1970|0|0|1
Meta|Rural|1993|0|0|1
Meta|Urbana|1970|0|0|0
Meta|Rural|1958|0|0|1
Meta|Rural|1968|0|0|1
Meta|Rural|1961|0|0|1
Meta|Urbana|1982|0|0|0
Meta|Rural|1988|0|0|1
Meta|Rural|1941|0|0|1
Nariño|Rural|2011|0|0|1
Nariño|Rural|1995|0|0|1
Nariño|Rural|1966|0|0|1
Nariño|Urbana|1948|0|0|0
Nariño|Rural|1956|0|0|1
Nariño|Rural|1988|0|0|1
Nariño|Rural|1943|0|0|1
Nariño|Urbana|1970|0|0|0
Nariño|Rural|1988|0|0|1
Nariño|Rural|1990|0|0|1
Nariño|Rural|1950|0|0|1
Nariño|Rural|1986|0|0|1
Nariño|Rural|1991|0|0|1
Nariño|Urbana|1976|0|0|0
Nariño|Rural|1975|0|0|1
Nariño|Rural|1982|0|0|1
Nariño|Rural|2003|0|0|1
Nariño|Urbana|1966|0|0|0
Nariño|Rural|1964|0|0|1
Nariño|Rural|1950|0|0|1
Nariño|Rural|1952|0|0|1
Nariño|Rural|2011|0|0|1
Nariño|Rural|1958|0|0|1
Nariño|Urbana|1963|0|0|0
Nariño|Rural|1979|0|0|1
Nariño|Rural|1987|0|0|1
Nariño|Rural|1953|0|0|1
Nariño|Urbana|1942|0|0|0
Nariño|Rural|1961|0|0|1
Nariño|Rural|1993|0|0|1
Nariño|Rural|1985|0|0|1
Nariño|Rural|1982|0|0|1
Nariño|Rural|1963|0|0|1
Nariño|Urbana|2011|0|0|0
Nariño|Rural|1952|0|0|1
Nariño|Rural|1944|0|0|1
Nariño|Rural|1943|0|0|1
Nariño|Urbana|1946|0|0|0
Nariño|Rural|1952|0|0|1
Nariño|Rural|1955|0|0|1
Nariño|Rural|1944|0|0|1
Nariño|Rural|1972|0|0|1
Nariño|Rural|1955|0|0|1
Nariño|Urbana|1958|0|0|0
Nariño|Rural|1952|0|0|1
Nariño|Rural|1944|0|0|1
Norte De Santander|Rural|1997|0|0|1
Norte De Santander|Urbana|1973|0|0|0
Norte De Santander|Rural|1963|0|0|1
Norte De Santander|Rural|1973|0|0|1
Norte De Santander|Rural|2012|0|0|1
Norte De Santander|Rural|1953|0|0|1
Norte De Santander|Rural|2014|0|0|1
Norte De Santander|Urbana|2009|0|0|0
Norte De Santander|Rural|1947|0|0|1
Norte De Santander|Rural|1995|0|0|1
Norte De Santander|Rural|1976|0|0|1
Norte De Santander|Urbana|2016|0|0|0
Norte De Santander|Rural|1986|0|0|1
Norte De Santander|Rural|1983|0|0|1
Norte De Santander|Rural|1987|0|0|1
Norte De Santander|Rural|2007|0|0|1
Norte De Santander|Rural|1959|0|0|1
Norte De Santander|Urbana|2009|0|0|0
Norte De Santander|Rural|1995|0|0|1
Norte De Santander|Rural|1994|0|0|1
Norte De Santander|Rural|2015|0|0|1
Norte De Santander|Urbana|1948|0|0|0
Norte De Santander|Rural|2016|0|0|1
Norte De Santander|Rural|2006|0|0|1
Norte De Santander|Rural|1979|0|0|1
Norte De Santander|Rural|1980|0|0|1
Norte De Santander|Rural|1998|0|0|1
Norte De Santander|Urbana|1957|0|0|0
Norte De Santander|Rural|1964|0|0|1
Putumayo|Rural|1970|0|0|1
Putumayo|Rural|1962|0|0|1
Putumayo|Urbana|1950|0|0|0
Putumayo|Rural|1981|0|0|1
Putumayo|Rural|1969|0|0|1
Putumayo|Rural|1951|0|0|1
Putumayo|Rural|1952|0|0|1
Putumayo|Rural|1956|0|0|1
Putumayo|Urbana|1977|0|0|0
Putumayo|Rural|2008|0|0|1
Putumayo|Rural|1970|0|0|1
Putumayo|Rural|1995|0|0|1
Putumayo|Urbana|1942|0|0|0
Putumayo|Rural|2010|0|0|1
Quindio|Rural|1997|0|0|1
Quindio|Rural|1970|0|0|1
Quindio|Rural|1977|0|0|1
Quindio|Rural|1986|0|0|1
Quindio|Urbana|1954|0|0|0
Quindio|Rural|1961|0|0|1
Quindio|Rural|1965|0|0|1
Quindio|Rural|1956|0|0|1
Risaralda|Urbana|1977|0|0|0
Risaralda|Rural|1954|0|0|1
Risaralda|Rural|1987|0|0|1
Risaralda|Rural|1960|0|0|1
Risaralda|Rural|1965|0|0|1
Risaralda|Rural|2015|0|0|1
Risaralda|Urbana|1980|0|0|0
Risaralda|Rural|1994|0|0|1
Risaralda|Rural|1971|0|0|1
Risaralda|Rural|1964|0|0|1
Risaralda|Urbana|1946|0|0|0
Risaralda|Rural|1951|0|0|1
Risaralda|Rural|1944|0|0|1
Santander|Rural|2019|0|0|1
Santander|Rural|1940|0|0|1
Santander|Rural|1948|0|0|1
Santander|Urbana|1982|0|0|0
Santander|Rural|2008|0|0|1
Santander|Rural|1949|0|0|1
Santander|Rural|2013|0|0|1
Santander|Urbana|2015|0|0|0
Santander|Rural|1974|0|0|1
Santander|Rural|1969|0|0|1
Santander|Rural|1996|0|0|1
Santander|Rural|1967|0|0|1
Santander|Rural|1968|0|0|1
Santander|Urbana|2004|0|0|0
Santander|Rural|2006|0|0|1
Santander|Rural|1978|0|0|1
Santander|Rural|1980|0|0|1
Santander|Urbana|1993|0|0|0
Santander|Rural|2014|0|0|1
Santander|Rural|1949|0|0|1
Santander|Rural|1972|0|0|1
Santander|Rural|1978|0|0|1
Santander|Rural|2002|0|0|1
Santander|Urbana|2000|0|0|0
Santander|Rural|1992|0|0|1
Santander|Rural|1984|0|0|1
Santander|Rural|1947|0|0|1
Santander|Urbana|1958|0|0|0
Santander|Rural|1977|0|0|1
Santander|Rural|1947|0|0|1
Santander|Rural|1983|0|0|1
Santander|Rural|1960|0|0|1
Santander|Rural|2018|0|0|1
Santander|Urbana|2009|0|0|0
Santander|Rural|1954|0|0|1
Santander|Rural|1985|0|0|1
Santander|Rural|1962|0|0|1
Santander|Urbana|1954|0|0|0
Santander|Rural|1980|0|0|1
Santander|Rural|2011|0|0|1
Santander|Rural|2014|0|0|1
Santander|Rural|1967|0|0|1
Santander|Rural|1953|0|0|1
Santander|Urbana|1943|0|0|0
Santander|Rural|1984|0|0|1
Santander|Rural|1940|0|0|1
Santander|Rural|1968|0|0|1
Santander|Urbana|1989|0|0|0
Santander|Rural|1957|0|0|1
Santander|Rural|1995|0|0|1
Santander|Rural|1942|0|0|1
Santander|Rural|1965|0|0|1
Sin Especificar|Rural|2016|0|0|1
Sin Especificar|Urbana|2003|0|0|0
Sin Especificar|Rural|1959|0|0|1
Sin Especificar|Rural|1973|0|0|1
Sin Especificar|Rural|1982|0|0|1
Sin Especificar|Urbana|2000|0|0|0
Sin Especificar|Rural|1967|0|0|1
Sin Especificar|Rural|1947|0|0|1
Sin Especificar|Rural|1965|0|0|1
Sin Especificar|Rural|1968|0|0|1
Sin Especificar|Rural|1982|0|0|1
Sin Especificar|Urbana|1978|0|0|0
Sin Especificar|Rural|2000|0|0|1
Sin Especificar|Rural|1948|0|0|1
Sin Especificar|Rural|1997|0|0|1
Sin Especificar|Urbana|1964|0|0|0
Sin Especificar|Rural|2000|0|0|1
Sin Especificar|Rural|2020|0|0|1
Sin Especificar|Rural|1948|0|0|1
Sin Especificar|Rural|1954|0|0|1
Sin Especificar|Rural|1949|0|0|1
Sin Especificar|Urbana|1944|0|0|0
Sin Especificar|Rural|2013|0|0|1
Sin Especificar|Rural|1962|0|0|1
Sin Especificar|Rural|1965|0|0|1
Sin Especificar|Urbana|1959|0|0|0
Sin Especificar|Rural|1945|0|0|1
Sin Especificar|Rural|1991|0|0|1
Sin Especificar|Rural|1962|0|0|1
Sin Especificar|Rural|1945|0|0|1
Sin Especificar|Rural|1941|0|0|1
Sin Especificar|Urbana|1988|0|0|0
Sin Especificar|Rural|1998|0|0|1
Sin Especificar|Rural|2018|0|0|1
Sin Especificar|Rural|2017|0|0|1
Sin Especificar|Urbana|2001|0|0|0
Sin Especificar|Rural|1943|0|0|1
Sin Especificar|Rural|2000|0|0|1
