pais_hecho|departamento_hecho|ciudad_hecho|lugar_zona|anio_inicio|anio_fin|hechos_continuan|victimas_identificadas|victimas_total|responsables_identificados|cluster
Colombia|Valle Del Cauca|Roldanillo|Urbana|2012||0|4|4|0|1
Colombia|Santander|San Vicente De Chucurí|Rural|1986||0|1|1|0|0
Colombia|Santander|Bucaramanga|Urbana|1990||0|1|1|0|1
Colombia|Quindio|Armenia|Urbana|2016||0|1|1|0|1
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|1988|1988.0|0|1|1|0|1
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|1979|1982.0|0|1|200|0|1
Colombia|Valle Del Cauca|Calima|Rural|1963||0|2|9|0|0
Colombia|Valle Del Cauca|Ansermanuevo|Rural|1967||0|1|1|3|0
Colombia|Quindio|Armenia|Rural|2003||0|1|20|0|0
Colombia|Quindio|Armenia|Rural|2003||1|1|1|0|0
Ecuador|Sin Especificar|Quito|Urbana|2016||0|2|2|1|1
Ecuador|Sin Especificar|Quito|Urbana|2016||0|1|1|1|1
Colombia|Valle Del Cauca|Tuluá|Rural|2006||0|1|3|0|0
Colombia|Valle Del Cauca|Calima|Rural|1983||0|4|4|0|0
Colombia|Valle Del Cauca|Argelia|Rural|2007||0|1|1|0|0
Colombia|Valle Del Cauca|Tuluá|Urbana|2010||0|1|1|0|1
Colombia|Valle Del Cauca|Tuluá|Urbana|2010||0|2|2|0|1
Colombia|Quindio|Armenia|Rural|2002||0|1|1|0|0
Colombia|Valle Del Cauca|Tuluá|Rural|2007||0|1|1|0|0
Colombia|Bogotá, D.c.|Bogotá, D.c.|Sin Especificar|2019||0|0|1|0|1
Colombia|Valle Del Cauca|Riofrío|Rural|1988||0|1|1|0|0
Colombia|Santander|Málaga|Rural|1989|1989.0|0|1|1|0|0
Colombia|Valle Del Cauca|Riofrío|Rural|1996||0|1|1|0|0
Colombia|La Guajira|Fonseca|Rural|2006||0|2|2|0|0
Colombia|La Guajira|San Juan Del Cesar|Urbana|2009|2010.0|0|1|1|0|1
Colombia|Cesar|Valledupar|Rural|1999||0|1|1|0|0
Colombia|Cesar|Valledupar|Rural|2002||0|1|1|0|0
Colombia|Magdalena|Aracataca|Rural|2002||0|2|2|0|0
Colombia|Valle Del Cauca|Roldanillo|Rural|2019||0|4|1|0|0
Colombia|Norte De Santander|Convención|Rural|2000||0|1|2|0|0
Colombia|Caquetá|Solano|Rural|2001||0|1|1|1|0
Colombia|La Guajira|Dibulla|Rural|2006||0|1|1|0|0
Colombia|La Guajira|Dibulla|Rural|2005|2011.0|0|1|1|0|0
Colombia|Caquetá|Solano|Rural|2001|2002.0|0|3|1|1|0
Colombia|Vaupés|Taraira|Rural|1991||0|1|1|0|0
Venezuela|Sin Especificar|Sin Especificar|Rural|2008||0|1|1|0|0
Colombia|Norte De Santander|Tibú|Rural|1998||0|1|1|0|0
Colombia|Cauca|Popayán|Rural|2002|2002.0|0|1|1|0|0
Colombia|Norte De Santander|El Zulia|Rural|1987||0|1|1|0|0
Colombia|Cesar|La Jagua De Ibirico|Rural|1975||0|1|1|0|0
Venezuela|Sin Especificar|Tachira|Rural|2000||0|1|1|0|0
Colombia|Norte De Santander|Sardinata|Rural|2006||0|2|5|0|0
Colombia|Norte De Santander|El Zulia|Rural|2000||0|1|18|0|0
Colombia|Norte De Santander|Tibú|Rural|2004||0|1|1|0|0
Colombia|Norte De Santander|San José De Cúcuta|Urbana|2001||0|1|1|2|1
Colombia|Norte De Santander|San José De Cúcuta|Urbana|1998|2001.0|0|1|1|1|1
Colombia|Magdalena|Aracataca|Rural|2002||0|1|2|0|0
Colombia|Magdalena|Aracataca|Rural|2002||0|1|1|0|0
Colombia|Magdalena|Aracataca|Rural|2002||0|1|1|0|0
Colombia|Magdalena|Aracataca|Rural|2002||0|1|1|0|0
Colombia|Magdalena|Aracataca|Rural|2006||0|1|1|0|0
Colombia|Córdoba|Tierralta|Rural|1998||1|7|7|0|0
Colombia|Cundinamarca|Viotá|Urbana|2012||0|1|1|0|1
Colombia|Valle Del Cauca|Riofrío|Rural|1983||0|1|1|0|0
Colombia|Valle Del Cauca|Cali|Urbana|1999||0|1|1|0|1
Colombia|Valle Del Cauca|Riofrío|Rural|1983||0|4|4|0|0
Colombia|Valle Del Cauca|Riofrío|Rural|1988||0|1|1|0|0
Colombia|Norte De Santander|Tibú|Rural|1990||0|2|2|0|0
Colombia|La Guajira|Riohacha|Urbana|1998||0|1|1|0|1
Colombia|Antioquia|Mutatá|Rural|1980||0|1|2|0|0
Colombia|La Guajira|Riohacha|Urbana|2002||0|1|1|0|1
Colombia|La Guajira|Riohacha|Rural|2002||0|0|1|0|0
Colombia|Valle Del Cauca|Cali|Urbana|2018||0|4|4|0|1
Colombia|Meta|Lejanías|Rural|2019|2005.0|0|1|1|0|0
Colombia|Meta|Lejanías|Rural|2019||0|1|1|0|0
Colombia|Meta|Lejanías|Rural|2019||0|1|1|0|0
Colombia|Meta|Lejanías|Rural|2019||0|1|1|0|0
Colombia|Córdoba|Valencia|Rural|1994||0|5|8|0|0
Colombia|Antioquia|Medellín|Urbana|2015||0|3|1|0|1
Colombia|Norte De Santander|Tibú|Rural|2000||0|1|1|0|0
Colombia|Norte De Santander|Tibú|Rural|2000||0|1|1|0|0
Colombia|Valle Del Cauca|Sin Especificar|Rural|2005||0|1|1|0|0
Colombia|Nariño|San Andrés De Tumaco|Rural|2011||0|2|1|0|0
Colombia|Norte De Santander|Tibú|Rural|2000||0|1|1|0|0
Colombia|Arauca|Arauquita|Rural|2008||0|1|1|0|0
Colombia|Arauca|Arauquita|Rural|2007||0|1|1|0|0
Colombia|Arauca|Saravena|Rural|2008||0|1|1|0|0
Colombia|Arauca|Saravena|Rural|2008||0|1|1|0|0
Colombia|Arauca|Saravena|Rural|2008||0|1|1|0|0
Colombia|Arauca|Saravena|Rural|2008||0|1|1|0|0
Colombia|Antioquia|Puerto Berrío|Urbana|2015|2019.0|0|2|2|1|1
Colombia|Santander|Barrancabermeja|Urbana|2017|2019.0|0|2|2|0|1
Colombia|Nariño|San Andrés De Tumaco|Rural|2011||0|2|1|0|0
Colombia|Nariño|San Andrés De Tumaco|Rural|2008||0|1|4|0|0
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|2016||0|3|1|0|1
Colombia|Risaralda|Pereira|Rural|2016|2017.0|0|3|3|0|0
Colombia|Cundinamarca|Agua De Dios|Rural|2019||0|1|1|0|0
Colombia|Risaralda|Santuario|Rural|1988||0|6|1|0|0
Colombia|Risaralda|Santuario|Rural|1989||0|3|1|0|0
Colombia|Antioquia|Medellín|Urbana|2017||1|2|2|0|1
Colombia|Cauca|Santander De Quilichao|Urbana|2016||1|2|2|1|1
Colombia|Cauca|Santander De Quilichao|Urbana|2004||0|1|1|0|1
España|Sin Especificar|Alicante|Urbana|2019||1|4|4|0|1
Colombia|Cauca|Santander De Quilichao|Urbana|2019||0|1|1|1|1
Colombia|Antioquia|Apartadó|Rural|1995|1995.0|0|4|4|3|0
Colombia|Huila|Neiva|Rural|1987||0|4|4|0|0
Colombia|Huila|Neiva|Rural|1987||0|1|1|0|0
Colombia|Huila|Neiva|Rural|1987|1989.0|0|4|4|0|0
Colombia|Boyacá|Miraflores|Rural|2002||0|5|5|0|0
Colombia|Antioquia|Apartadó|Rural|1992||0|4|4|1|0
Colombia|Antioquia|Apartadó|Rural|1994||0|5|5|1|0
Colombia|Valle Del Cauca|Tuluá|Urbana|2007||0|1|1|0|1
Ecuador|Sin Especificar|Quito|Urbana|2013||0|1|1|0|1
Colombia|Caquetá|La Montañita|Rural|1997||0|1|1|1|0
Colombia|Antioquia|Apartadó|Rural|1995||0|5|5|1|0
Colombia|Vaupés|Mitú|Rural|1998|2001.0|0|4|61|3|0
Colombia|Antioquia|Apartadó|Urbana|1996||0|6|6|1|1
Colombia|Antioquia|Medellín|Urbana|2000||0|1|1|0|1
Colombia|Antioquia|Medellín|Urbana|2015|2016.0|0|1|1|0|1
Colombia|Antioquia|Medellín|Urbana|1997||0|7|7|1|1
Colombia|Antioquia|Medellín|Urbana|2016||0|4|4|0|1
Colombia|Cauca|Popayán|Urbana|2002||0|1|5|0|1
Colombia|Antioquia|Medellín|Rural|1999||0|6|7|1|0
Colombia|Antioquia|Medellín|Urbana|2017|2017.0|0|2|2|0|1
Colombia|Antioquia|Medellín|Urbana|2000||1|3|1|1|1
Colombia|Cauca|Popayán|Rural|2003|2007.0|0|1|1|0|0
Colombia|Antioquia|Medellín|Urbana|1995||0|3|3|1|1
Colombia|Cauca|Florencia|Rural|2004||0|1|2|4|0
Colombia|Caquetá|La Montañita|Rural|1997||1|1|1|0|0
Colombia|Antioquia|Apartadó|Rural|1995||0|3|1|1|0
Colombia|Putumayo|San Miguel|Rural|2007||0|1|1|0|0
Colombia|Caquetá|San Vicente Del Caguán|Rural|1998||0|1|1|1|0
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|2007||0|3|3|1|1
Colombia|Valle Del Cauca|Buenaventura|Urbana|2004||0|1|1|1|1
Colombia|Valle Del Cauca|Buenaventura|Urbana|2005||0|4|4|0|1
Colombia|Valle Del Cauca|Buenaventura|Urbana|2006||0|1|1|1|1
Colombia|Valle Del Cauca|Buenaventura|Urbana|2007||0|1|1|1|1
Colombia|Valle Del Cauca|Cali|Urbana|2011||0|2|5|0|1
Colombia|Valle Del Cauca|Buenaventura|Urbana|2014||0|1|1|1|1
Colombia|Putumayo|Sin Especificar|Rural|1992||0|1|1|0|0
Colombia|Caquetá|La Montañita|Urbana|2001||0|1|1|3|1
Colombia|Valle Del Cauca|Buenaventura|Urbana|2017|2017.0|0|3|3|1|1
Colombia|Caquetá|La Montañita|Urbana|2001||0|1|1|4|1
Colombia|Caquetá|La Montañita|Urbana|2011||1|1|1|0|1
Colombia|Risaralda|Quinchía|Rural|2006||0|3|1|0|0
Colombia|Caquetá|La Montañita|Rural|2002||0|2|1|0|0
Colombia|Magdalena|Puebloviejo|Rural|2000|2000.0|0|1|112|0|0
Colombia|Caquetá|Valparaíso|Rural|1998||0|2|2|0|0
Colombia|Meta|Puerto Rico|Rural|2002||1|1|1|0|0
Colombia|Meta|La Macarena|Rural|2006||0|2|4|1|0
Colombia|Bogotá, D.c.|Bogotá, D.c.|Rural|1984|1984.0|0|2|4|0|0
Colombia|Meta|La Macarena|Rural|2007||0|4|4|0|0
Colombia|Meta|Puerto Gaitán|Rural|2011||0|1|1|0|0
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|2013||0|1|1|0|1
Colombia|Meta|Puerto Gaitán|Rural|2017||0|1|1|0|0
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|2019||0|1|1|0|1
Colombia|Santander|Bucaramanga|Rural|1992||1|2|2|0|0
Colombia|Bolívar|El Carmen De Bolívar|Rural|2003||0|1|12|0|0
Colombia|Bolívar|El Carmen De Bolívar|Urbana|2002||0|1|5|1|1
Colombia|Caquetá|Curillo|Urbana|1995||1|1|1|0|1
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|1985||0|1|1|0|1
Colombia|Antioquia|Apartadó|Rural|1995||0|1|1|0|0
Colombia|Antioquia|Apartadó|Rural|1995||0|1|1|2|0
Colombia|Antioquia|Dabeiba|Rural|1997||0|2|2|0|0
Colombia|Nariño|Samaniego|Rural|2013||0|1|1|0|0
Colombia|Magdalena|Santa Marta|Urbana|1998||0|1|1|0|1
Colombia|Antioquia|Apartadó|Rural|2003||0|1|1|0|0
Colombia|Antioquia|Medellín|Urbana|2000||0|3|3|0|1
Colombia|Antioquia|Medellín|Urbana|1999||0|3|5|0|1
Colombia|Antioquia|Apartadó|Rural|1995|2007.0|0|4|7|0|0
Colombia|Caquetá|Curillo|Rural|1985||0|1|1|0|0
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|2007||0|3|3|0|1
Brasil|Sin Especificar|Zona De Frontera Con Vaupés|Rural|1991|1991.0|0|1|4|0|0
Colombia|Putumayo|Puerto Asís|Rural|1999||0|4|4|1|0
Ecuador|Sin Especificar|Quito|Urbana|2005||0|4|4|1|1
Colombia|Putumayo|San Miguel|Rural|2002|2007.0|0|1|1|1|0
Colombia|Antioquia|Segovia|Rural|2002||0|2|2|1|0
Colombia|Bogotá, D.c.|Bogotá, D.c.|Rural|1991||0|1|1|0|0
Colombia|Bolívar|El Carmen De Bolívar|Rural|1999||1|3|4|4|0
Colombia|Bolívar|San Juan Nepomuceno|Rural|2008||0|1|1|0|0
Colombia|Caquetá|El Doncello|Rural|2005||0|1|1|0|0
Colombia|Putumayo|Puerto Guzmán|Rural|1992||0|1|1|0|0
Colombia|Nariño|Policarpa|Rural|2010||0|2|5|0|0
Colombia|Nariño|San Andrés De Tumaco|Rural|2015||1|1|1|0|0
Colombia|Caquetá|La Montañita|Urbana|2010|2010.0|0|1|6|0|1
Colombia|Casanare|Pore|Rural|2014||0|1|1|0|0
Colombia|Casanare|Pore|Rural|2014||0|4|1|0|0
Colombia|Caquetá|Cartagena Del Chairá|Rural|2012|2015.0|0|1|1|0|0
Colombia|Caquetá|Cartagena Del Chairá|Rural|2015||0|3|4|1|0
Colombia|Putumayo|Mocoa|Rural|1989||0|1|1|0|0
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|2016||0|2|2|0|1
Colombia|Caquetá|Florencia|Urbana|2016||0|2|2|1|1
Colombia|La Guajira|Riohacha|Rural|1998|2013.0|0|1|1|1|0
Colombia|Norte De Santander|San José De Cúcuta|Rural|2005||0|1|1|0|0
Colombia|Nariño|San Andrés De Tumaco|Urbana|2018||0|1|1|0|1
Colombia|La Guajira|Riohacha|Urbana|2008|2013.0|0|1|1|0|1
Colombia|Valle Del Cauca|Caicedonia|Urbana|2005|2006.0|0|2|2|0|1
Colombia|Chocó|Alto Baudó|Rural|2001||0|1|1|0|0
Colombia|La Guajira|Riohacha|Rural|2013|2013.0|0|1|1|0|0
Colombia|Cesar|Chimichagua|Rural|2000||0|1|2|1|0
Colombia|Córdoba|Valencia|Urbana|2003||0|2|6|0|1
Colombia|Valle Del Cauca|Cali|Urbana|2018||0|2|7|0|1
Colombia|Córdoba|Montería|Rural|2018||0|1|1|1|0
Colombia|Córdoba|Montería|Urbana|2019||0|2|6|1|1
Colombia|Valle Del Cauca|Cali|Urbana|2017||0|1|1|0|1
Colombia|Vaupés|Taraira|Rural|2000|2000.0|0|1|2|0|0
Colombia|La Guajira|Riohacha|Rural|2014||0|1|1|1|0
Colombia|Vaupés|Taraira|Urbana|2001|2001.0|0|2|3|0|1
Colombia|Guaviare|San José Del Guaviare|Rural|2005||0|3|4|0|0
Colombia|Vaupés|Taraira|Urbana|2000|2000.0|0|1|1|0|1
Colombia|Vaupés|Taraira|Urbana|2001|2004.0|0|1|2|0|1
Colombia|La Guajira|Riohacha|Urbana|2018||0|1|1|1|1
Colombia|Vaupés|Taraira|Urbana|2000|2004.0|0|1|2|0|1
Colombia|Caquetá|Cartagena Del Chairá|Urbana|2015||0|1|1|1|1
Colombia|Cesar|El Copey|Rural|2005||0|1|1|1|0
Colombia|Cesar|El Copey|Urbana|2005||1|1|1|1|1
Colombia|Valle Del Cauca|Buenaventura|Rural|2015||0|1|1|0|0
España|Sin Especificar|Alicante|Urbana|2019||1|1|1|0|1
Colombia|Norte De Santander|Tibú|Rural|1997||0|1|1|0|0
Colombia|Caquetá|Cartagena Del Chairá|Rural|1989||0|1|1|0|0
Colombia|Norte De Santander|Tibú|Urbana|1998||0|1|1|2|1
Colombia|Guaviare|Miraflores|Rural|1992||0|1|1|0|0
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|2019||1|4|4|0|1
Colombia|Guaviare|Miraflores|Rural|1996||0|2|2|0|0
Colombia|Guaviare|Miraflores|Rural|2000||0|4|4|0|0
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|2019||1|1|4|0|1
Colombia|Antioquia|Barbosa|Rural|2001||0|4|4|0|0
Colombia|Nariño|Barbacoas|Rural|2001||0|3|3|0|0
Colombia|Valle Del Cauca|Trujillo|Rural|2012||0|6|6|0|0
Colombia|Bolívar|Simití|Rural|1998||0|1|1|0|0
Ecuador|Sin Especificar|Quito|Urbana|2013||0|6|6|0|1
Colombia|Putumayo|Puerto Asís|Rural|2004|2005.0|0|1|4|1|0
Colombia|Atlántico|Sabanalarga|Rural|1985||0|1|1|0|0
Colombia|Magdalena|Zona Bananera|Rural|2001||0|1|1|0|0
Colombia|Antioquia|Chigorodó|Rural|2009||0|1|1|1|0
Colombia|Cesar|Valledupar|Urbana|2018||0|1|1|0|1
Colombia|Tolima|Ibagué|Rural|1979||0|1|1|0|0
Colombia|Caquetá|San Vicente Del Caguán|Urbana|2002||0|1|1|0|1
Colombia|Magdalena|Pivijay|Rural|2000||0|1|1|0|0
Colombia|Bolívar|San Jacinto|Rural|1993||0|2|2|0|0
Colombia|Bolívar|Simití|Rural|1998||0|1|1|0|0
Colombia|Putumayo|Puerto Leguízamo|Rural|1981|1982.0|0|1|2|1|0
Colombia|Bolívar|San Jacinto|Rural|1996||0|1|1|1|0
Colombia|Cesar|Agustín Codazzi|Rural|1999||0|1|3|0|0
Colombia|Caquetá|Solita|Rural|2002||0|1|1|0|0
Colombia|Cesar|Agustín Codazzi|Rural|2001||0|1|7|0|0
Colombia|Nariño|San Andrés De Tumaco|Rural|2016||0|1|1|0|0
Colombia|Bolívar|San Jacinto|Rural|1997||0|1|5|0|0
Colombia|Bolívar|San Jacinto|Rural|1996||0|1|1|0|0
Colombia|Bolívar|San Jacinto|Rural|1997||0|1|1|1|0
Colombia|Cesar|Valledupar|Rural|2002||0|1|1|0|0
Colombia|Cesar|Chiriguaná|Rural|2007||0|1|1|1|0
Colombia|Antioquia|Dabeiba|Rural|2002||0|1|185|2|0
Colombia|Bolívar|San Jacinto|Rural|1999||0|3|3|0|0
Colombia|Antioquia|Dabeiba|Rural|2004||0|1|1|1|0
Colombia|Bogotá, D.c.|Sin Especificar|Rural|2002||0|1|1|0|0
Colombia|Antioquia|Dabeiba|Rural|2004||0|1|185|0|0
Colombia|Bolívar|San Jacinto|Rural|1999||0|4|4|0|0
Colombia|Antioquia|Dabeiba|Rural|2009|2016.0|0|1|1|0|0
Colombia|Huila|Palermo|Rural|1961||0|1|4|0|0
Colombia|Huila|Palermo|Rural|1998|2004.0|0|1|8|0|0
Colombia|Antioquia|Dabeiba|Rural|2007|2016.0|0|1|1|0|0
Colombia|Antioquia|Dabeiba|Urbana|2009|2011.0|0|1|1|0|1
Colombia|Antioquia|Dabeiba|Rural|2011|2016.0|0|1|1|1|0
Colombia|Caquetá|San Vicente Del Caguán|Rural|2002||0|1|1|0|0
Colombia|Caquetá|Valparaíso|Rural|2003|2003.0|0|1|1000|0|0
Colombia|Norte De Santander|Tibú|Rural|2000||0|1|1|1|0
Colombia|Caquetá|San José Del Fragua|Rural|1998||0|1|1|0|0
Colombia|Caquetá|Curillo|Rural|2007||0|1|1|0|0
Colombia|Caquetá|Curillo|Rural|1995||0|1|1|0|0
Colombia|Norte De Santander|Tibú|Rural|1999||0|1|1|0|0
Colombia|Norte De Santander|Tibú|Rural|2001||0|1|1|0|0
Colombia|Norte De Santander|Ocaña|Urbana|1993||0|1|1|0|1
Colombia|Nariño|Barbacoas|Rural|2004||0|1|1|0|0
Colombia|Valle Del Cauca|Cali|Urbana|2004||0|1|1|0|1
Venezuela|Sin Especificar|Caracas|Rural|2006||0|1|1|0|0
Colombia|Valle Del Cauca|Cali|Rural|2006||0|1|1|0|0
Ecuador|Sin Especificar|Quito|Rural|2013||0|1|1|0|0
Colombia|Putumayo|Puerto Leguízamo|Rural|1994|1994.0|0|1|1|1|0
Colombia|Magdalena|Zona Bananera|Rural|2002||0|1|1|0|0
Colombia|Bolívar|Simití|Rural|1988||0|1|1|0|0
Colombia|Bolívar|San Jacinto|Rural|2005||0|2|2|0|0
Colombia|Bolívar|San Jacinto|Rural|1993|2007.0|0|2|1|0|0
Colombia|Bolívar|San Jacinto|Rural|1993|2007.0|0|2|1|0|0
Colombia|Antioquia|Dabeiba|Rural|2000||0|1|185|0|0
Colombia|Antioquia|Chigorodó|Urbana|2006||0|1|1|2|1
Colombia|Magdalena|Santa Marta|Rural|1998|1998.0|0|1|1|1|0
Colombia|Bolívar|Sin Especificar|Rural|1967||0|1|1|0|0
Colombia|Bolívar|San Martín De Loba|Rural|1981||0|1|1|0|0
Colombia|Magdalena|Santa Marta|Urbana|2013|2019.0|1|1|1|1|1
Colombia|Bolívar|Barranco De Loba|Rural|1998|1998.0|0|1|1|0|0
Colombia|Huila|Palermo|Rural|1960||0|1|1|0|0
Colombia|Cesar|Valledupar|Urbana|1999||0|1|1|1|1
Colombia|Magdalena|Ciénaga|Rural|1998||0|1|1|0|0
Colombia|Valle Del Cauca|Jamundí|Rural|1986||0|1|1|0|0
Colombia|Bolívar|Simití|Rural|1998||0|5|9|0|0
Colombia|Magdalena|Puebloviejo|Rural|1998||0|1|1|1|0
Colombia|Valle Del Cauca|Palmira|Urbana|1982|1996.0|0|1|4|1|1
Colombia|Magdalena|Puebloviejo|Rural|2000|2000.0|0|7|1|1|0
Colombia|Magdalena|Zona Bananera|Urbana|2001|2001.0|0|7|1|1|1
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|1979||1|1|1|0|1
Colombia|Magdalena|Puebloviejo|Rural|1999|2000.0|0|1|1|1|0
Colombia|Magdalena|Fundación|Urbana|2003|2004.0|0|1|1|4|1
Colombia|Magdalena|Fundación|Rural|2000||0|1|1|0|0
Colombia|Magdalena|Fundación|Rural|2000||0|1|1|0|0
Colombia|Magdalena|Fundación|Urbana|2004|2005.0|0|1|1|0|1
Colombia|Magdalena|Puebloviejo|Urbana|1999|2000.0|0|1|1|0|1
Colombia|Magdalena|Zona Bananera|Urbana|2000||0|1|1|1|1
Colombia|Norte De Santander|San José De Cúcuta|Urbana|2000||0|1|2|0|1
Colombia|Norte De Santander|San José De Cúcuta|Rural|2000||1|1|4|0|0
Colombia|Cauca|Santander De Quilichao|Urbana|1995||0|1|1|1|1
Colombia|Cauca|Santander De Quilichao|Urbana|1998||0|1|1|1|1
Colombia|Cauca|Santander De Quilichao|Urbana|1999||0|1|1|0|1
Colombia|Cauca|Santa Rosa|Rural|2002||0|1|1|0|0
Colombia|Cauca|Popayán|Rural|2004||0|1|1|2|0
Colombia|Nariño|Pasto|Urbana|2006||0|1|1|0|1
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|2006||0|1|1|0|1
Colombia|Bogotá, D.c.|Bogotá, D.c.|Urbana|2018||0|1|1|0|1
Colombia|Valle Del Cauca|Yumbo|Urbana|2013||0|1|1|0|1
Colombia|Nariño|Olaya Herrera|Rural|2012||0|1|1|0|0
España|Sin Especificar|Alicante|Urbana|2019||1|2|2|0|1
Colombia|Antioquia|Dabeiba|Rural|2007||0|1|1|0|0
Colombia|Valle Del Cauca|Yumbo|Urbana|2013||0|1|1|0|1
Colombia|Meta|Lejanías|Rural|2003||0|1|2|2|0
Colombia|Quindio|Armenia|Urbana|2019||0|3|4|0|1
Colombia|Bogotá, D.c.|Bogotá, D.c.|Rural|2019||1|3|4|0|0
Colombia|Valle Del Cauca|Cali|Rural|2019||0|3|3|0|0
Colombia|Norte De Santander|Bucarasica|Urbana|1992||0|1|1|0|1
Colombia|Valle Del Cauca|Cali|Urbana|2019||0|3|3|1|1
