pais_hecho|anio_inicio|victimas_identificadas|victimas_total|responsables_identificados|tc_tc_politico|cluster
Colombia|1996|1|1|1|0|2
Colombia|1983|1|1|0|0|0
Colombia|1982|1|1|0|0|0
Colombia|1967|3|1|0|0|3
Colombia|1994|3|1|1|0|2
Colombia|1972|1|1|0|0|0
Colombia|1999|1|1|0|0|1
Colombia|1940|1|1|0|0|5
Colombia|2012|1|2|0|0|1
Colombia|2006|1|1|1|0|2
Colombia|1943|1|1|0|0|5
Colombia|1954|1|1|0|0|5
Colombia|1976|3|1|0|0|3
Colombia|2013|3|1|1|0|2
Colombia|1945|1|1|0|0|5
Colombia|1991|1|1|0|0|0
Colombia|2005|1|1|0|0|1
Colombia|1957|1|2|0|0|5
Colombia|1984|1|1|1|0|6
Colombia|2017|1|1|0|0|1
Colombia|1959|1|1|0|0|5
Colombia|1971|3|1|0|0|3
Colombia|2016|3|1|1|0|2
Colombia|1972|1|1|0|0|0
Colombia|1998|1|1|0|0|1
Colombia|1944|1|1|0|0|5
Colombia|2001|1|2|0|0|1
Colombia|1962|1|1|1|0|6
Colombia|1989|1|1|0|0|0
Colombia|1976|1|1|0|0|0
Colombia|1975|3|1|0|0|3
Colombia|1981|3|1|1|0|2
Colombia|1992|1|1|0|0|0
Colombia|1974|1|1|0|0|0
Colombia|1961|1|1|0|0|5
Colombia|1975|1|2|0|0|0
Colombia|1988|1|1|1|0|2
Colombia|1988|1|1|0|0|0
Colombia|1973|1|1|0|0|0
Colombia|1957|3|1|0|0|3
Colombia|1979|3|1|1|0|3
Colombia|1968|1|1|0|0|0
Colombia|2014|1|1|0|0|1
Colombia|1984|1|1|0|0|0
Colombia|1944|1|2|0|0|5
Colombia|2003|1|1|1|0|2
Colombia|1944|1|1|0|0|5
Colombia|1968|1|1|0|0|0
Colombia|1995|3|1|0|0|4
Colombia|1966|3|1|1|0|3
Colombia|1942|1|1|0|0|5
Colombia|1959|1|1|0|0|5
Colombia|1993|1|1|0|0|1
Colombia|1976|1|2|0|0|0
Colombia|1976|1|1|1|0|6
Colombia|1972|1|1|0|0|0
Colombia|2016|1|1|0|0|1
Colombia|2008|3|1|0|0|4
Colombia|2007|3|1|1|0|2
Colombia|1988|1|1|0|0|0
Colombia|1971|1|1|0|0|0
Colombia|2011|1|1|0|0|1
Colombia|1952|1|2|0|0|5
Colombia|1957|1|1|1|0|6
Colombia|2014|1|1|0|0|1
Colombia|1992|1|1|0|0|0
Colombia|1966|3|1|0|0|3
Colombia|1984|3|1|1|0|2
Colombia|1975|1|1|0|0|0
Colombia|2019|1|1|0|0|1
Colombia|2017|1|1|0|0|1
Colombia|1947|1|2|0|0|5
Colombia|1969|1|1|1|0|6
Colombia|1954|1|1|0|0|5
Colombia|1947|1|1|0|0|5
Colombia|1962|3|1|0|0|3
Colombia|1949|3|1|1|0|3
Colombia|2015|1|1|0|0|1
Colombia|2018|1|1|0|0|1
Colombia|2020|1|1|0|0|1
Colombia|1983|1|2|0|0|0
Colombia|1994|1|1|1|0|2
Colombia|1961|1|1|0|0|5
Colombia|1959|1|1|0|0|5
Colombia|1999|3|1|0|0|4
Colombia|1963|3|1|1|0|3
Colombia|2000|1|1|0|0|1
Colombia|1951|1|1|0|0|5
Colombia|1943|1|1|0|0|5
Colombia|2010|1|2|0|0|1
Colombia|1972|1|1|1|0|6
Colombia|1940|1|1|0|0|5
Colombia|1959|1|1|0|0|5
Colombia|1969|3|1|0|0|3
Colombia|1944|3|1|1|0|3
Colombia|1966|1|1|0|0|0
Colombia|1990|1|1|0|0|0
Colombia|2020|1|1|0|0|1
Colombia|1944|1|2|0|0|5
Colombia|1992|1|1|1|0|2
Colombia|1987|1|1|0|0|0
Colombia|1976|1|1|0|0|0
Colombia|1950|3|1|0|0|3
Colombia|1991|3|1|1|0|2
Colombia|1983|1|1|0|0|0
Colombia|1960|1|1|0|0|5
Colombia|2003|1|1|0|0|1
Colombia|1974|1|2|0|0|0
Colombia|1983|1|1|1|0|6
Colombia|2020|1|1|0|0|1
Colombia|1984|1|1|0|0|0
Colombia|2020|3|1|0|0|4
Colombia|1997|3|1|1|0|2
Colombia|1987|1|1|0|0|0
Colombia|2016|1|1|0|0|1
Colombia|1990|1|1|0|0|0
Colombia|1958|1|2|0|0|5
Colombia|1942|1|1|1|0|6
Colombia|2005|1|1|0|0|1
Colombia|2000|1|1|0|0|1
Colombia|2011|3|1|0|0|4
Colombia|1946|3|1|1|0|3
Colombia|1952|1|1|0|0|5
Colombia|2013|1|1|0|0|1
Colombia|1983|1|1|0|0|0
Colombia|1984|1|2|0|0|0
Colombia|1958|1|1|1|0|6
Colombia|1941|1|1|0|0|5
Colombia|1961|1|1|0|0|5
Colombia|1966|3|1|0|0|3
Colombia|2010|3|1|1|0|2
Colombia|1950|1|1|0|0|5
Colombia|1972|1|1|0|0|0
Colombia|1948|1|1|0|0|5
Colombia|1977|1|2|0|0|0
Colombia|1978|1|1|1|0|6
Colombia|1963|1|1|0|0|5
Colombia|1965|1|1|0|0|5
Colombia|1983|3|1|0|0|4
Colombia|1974|3|1|1|0|3
Colombia|1960|1|1|0|0|5
Colombia|1944|1|1|0|0|5
Colombia|1988|1|1|0|0|0
Colombia|2002|1|2|0|0|1
Colombia|1973|1|1|1|0|6
Colombia|1975|1|1|0|0|0
Colombia|1962|1|1|0|0|5
Colombia|1964|3|1|0|0|3
Colombia|2011|3|1|1|0|2
Colombia|1955|1|1|0|0|5
Colombia|1962|1|1|0|0|5
Colombia|1957|1|1|0|0|5
Colombia|1998|1|2|0|0|1
Colombia|1978|1|1|1|0|6
Colombia|2007|1|1|0|0|1
Colombia|1958|1|1|0|0|5
Colombia|1971|3|1|0|0|3
Colombia|1947|3|1|1|0|3
Colombia|1941|1|1|0|0|5
Colombia|2006|1|1|0|0|1
Colombia|1954|1|1|0|0|5
Colombia|1974|1|2|0|0|0
Colombia|1963|1|1|1|0|6
Colombia|1955|1|1|0|0|5
Colombia|1948|1|1|0|0|5
Colombia|1952|3|1|0|0|3
Colombia|1968|3|1|1|0|3
Colombia|1948|1|1|0|0|5
Colombia|1975|1|1|0|0|0
Colombia|2020|1|1|0|0|1
Colombia|1979|1|2|0|0|0
Colombia|1952|1|1|1|0|6
Colombia|2014|1|1|0|0|1
Colombia|2012|1|1|0|0|1
Colombia|2000|3|1|0|0|4
Colombia|1990|3|1|1|0|2
Colombia|1951|1|1|0|0|5
Colombia|1940|1|1|0|0|5
Colombia|2014|1|1|0|0|1
Colombia|1946|1|2|0|0|5
Colombia|1958|1|1|1|0|6
Colombia|1967|1|1|0|0|0
Colombia|1955|1|1|0|0|5
Colombia|1973|3|1|0|0|3
Colombia|2012|3|1|1|0|2
Colombia|1950|1|1|0|0|5
Colombia|2016|1|1|0|0|1
Colombia|1961|1|1|0|0|5
Colombia|1992|1|2|0|0|0
Colombia|1976|1|1|1|0|6
Colombia|1985|1|1|0|0|0
Colombia|2001|1|1|0|0|1
Colombia|2013|3|1|0|0|4
Colombia|1963|3|1|1|0|3
Colombia|1977|1|1|0|0|0
Colombia|1952|1|1|0|0|5
Colombia|1966|1|1|0|0|0
Colombia|1961|1|2|0|0|5
Colombia|1978|1|1|1|0|6
Colombia|2018|1|1|0|0|1
Colombia|2000|1|1|0|0|1
Colombia|1968|3|1|0|0|3
Colombia|1946|3|1|1|0|3
Colombia|1952|1|1|0|0|5
Colombia|1967|1|1|0|0|0
Colombia|1943|1|1|0|0|5
Colombia|1978|1|2|0|0|0
Colombia|1987|1|1|1|0|2
Colombia|1992|1|1|0|0|0
Colombia|1973|1|1|0|0|0
Colombia|1961|3|1|0|0|3
Colombia|2013|3|1|1|0|2
Colombia|1979|1|1|0|0|0
Colombia|1958|1|1|0|0|5
Colombia|1953|1|1|0|0|5
Colombia|2015|1|2|0|0|1
Colombia|1966|1|1|1|0|6
Colombia|1996|1|1|0|0|1
Colombia|1962|1|1|0|0|5
Colombia|1993|3|1|0|0|4
Colombia|1940|3|1|1|0|3
Colombia|1953|1|1|0|0|5
Colombia|2000|1|1|0|0|1
Colombia|2019|1|1|0|0|1
Colombia|1960|1|2|0|0|5
Colombia|1983|1|1|1|0|6
Colombia|1941|1|1|0|0|5
Colombia|2012|1|1|0|0|1
Colombia|1984|3|1|0|0|4
Colombia|1958|3|1|1|0|3
Colombia|2002|1|1|0|0|1
Colombia|1983|1|1|0|0|0
Colombia|1987|1|1|0|0|0
Colombia|1986|1|2|0|0|0
Colombia|1942|1|1|1|0|6
Colombia|1954|1|1|0|0|5
Colombia|2016|1|1|0|0|1
Colombia|2018|3|1|0|0|4
Colombia|2020|3|1|1|0|2
Colombia|2000|1|1|0|0|1
Colombia|1940|1|1|0|0|5
Colombia|2004|1|1|0|0|1
Colombia|1966|1|2|0|0|0
Colombia|2002|1|1|1|0|2
Colombia|1944|1|1|0|0|5
Colombia|2012|1|1|0|0|1
Colombia|2020|3|1|0|0|4
Colombia|2007|3|1|1|0|2
Colombia|1975|1|1|0|0|0
Colombia|2016|1|1|0|0|1
Colombia|1947|1|1|0|0|5
Colombia|1948|1|2|0|0|5
Colombia|1972|1|1|1|0|6
Colombia|2007|1|1|0|0|1
Colombia|2020|1|1|0|0|1
Colombia|1982|3|1|0|0|4
Colombia|1981|3|1|1|0|2
Colombia|1947|1|1|0|0|5
Colombia|1961|1|1|0|0|5
Colombia|1998|1|1|0|0|1
Colombia|2011|1|2|0|0|1
Colombia|1999|1|1|1|0|2
Colombia|1962|1|1|0|0|5
Colombia|2002|1|1|0|0|1
Colombia|1948|3|1|0|0|3
Colombia|2018|3|1|1|0|2
Colombia|1944|1|1|0|0|5
Colombia|1981|1|1|0|0|0
Colombia|1950|1|1|0|0|5
Colombia|2020|1|2|0|0|1
Colombia|2015|1|1|1|0|2
Colombia|1966|1|1|0|0|0
Colombia|1977|1|1|0|0|0
Colombia|1969|3|1|0|0|3
Colombia|1942|3|1|1|0|3
Colombia|1998|1|1|0|0|1
Colombia|1955|1|1|0|0|5
Colombia|1956|1|1|0|0|5
Colombia|1983|1|2|0|0|0
Colombia|1992|1|1|1|0|2
Colombia|1974|1|1|0|0|0
Colombia|2010|1|1|0|0|1
Colombia|1994|3|1|0|0|4
Colombia|1999|3|1|1|0|2
Colombia|2019|1|1|0|0|1
Colombia|1952|1|1|0|0|5
Colombia|1969|1|1|0|0|0
Colombia|1947|1|2|0|0|5
Colombia|1945|1|1|1|0|6
Colombia|1988|1|1|0|0|0
Colombia|2012|1|1|0|0|1
Colombia|1955|3|1|0|0|3
Colombia|2004|3|1|1|0|2
Colombia|1965|1|1|0|0|5
Colombia|1940|1|1|0|0|5
Colombia|2008|1|1|0|0|1
Colombia|2003|1|2|0|0|1
Colombia|1978|1|1|1|0|6
Colombia|1980|1|1|0|0|0
Colombia|1969|1|1|0|0|0
Colombia|1975|3|1|0|0|3
Colombia|1971|3|1|1|0|3
Colombia|1962|1|1|0|0|5
Colombia|2018|1|1|0|0|1
Colombia|1982|1|1|0|0|0
Colombia|1947|1|2|0|0|5
Colombia|2005|1|1|1|0|2
Colombia|1941|1|1|0|0|5
Colombia|1964|1|1|0|0|5
Colombia|1950|3|1|0|0|3
Colombia|1966|3|1|1|0|3
Colombia|2008|1|1|0|0|1
Colombia|1965|1|1|0|0|5
Colombia|2009|1|1|0|0|1
Colombia|2010|1|2|0|0|1
Colombia|1954|1|1|1|0|6
Colombia|2009|1|1|0|0|1
Colombia|1966|1|1|0|0|0
Colombia|1949|3|1|0|0|3
Colombia|1941|3|1|1|0|3
Colombia|1982|1|1|0|0|0
Colombia|1947|1|1|0|0|5
Colombia|2001|1|1|0|0|1
Colombia|1999|1|2|0|0|1
Colombia|2016|1|1|1|0|2
Colombia|1985|1|1|0|0|0
Colombia|2012|1|1|0|0|1
Colombia|1944|3|1|0|0|3
Colombia|1944|3|1|1|0|3
Colombia|1997|1|1|0|0|1
Colombia|1946|1|1|0|0|5
Colombia|1955|1|1|0|0|5
Colombia|2019|1|2|0|0|1
Colombia|1941|1|1|1|0|6
Colombia|1998|1|1|0|0|1
Colombia|2001|1|1|0|0|1
Colombia|2011|3|1|0|0|4
Colombia|2019|3|1|1|0|2
Colombia|1943|1|1|0|0|5
Colombia|1943|1|1|0|0|5
Colombia|1982|1|1|0|0|0
Colombia|1943|1|2|0|0|5
Colombia|1987|1|1|1|0|2
Colombia|1945|1|1|0|0|5
Colombia|2008|1|1|0|0|1
Colombia|2016|3|1|0|0|4
Colombia|1953|3|1|1|0|3
Colombia|1999|1|1|0|0|1
Colombia|1969|1|1|0|0|0
Colombia|1982|1|1|0|0|0
Colombia|1997|1|2|0|0|1
Colombia|1974|1|1|1|0|6
Colombia|1970|1|1|0|0|0
Colombia|1967|1|1|0|0|0
Colombia|1962|3|1|0|0|3
Colombia|1955|3|1|1|0|3
Colombia|2006|1|1|0|0|1
Colombia|1953|1|1|0|0|5
Colombia|2011|1|1|0|0|1
Colombia|1964|1|2|0|0|5
Colombia|1960|1|1|1|0|6
Colombia|2004|1|1|0|0|1
Colombia|2020|1|1|0|0|1
Colombia|1942|3|1|0|0|3
Colombia|2004|3|1|1|0|2
Colombia|1940|1|1|0|0|5
Colombia|1976|1|1|0|0|0
Colombia|1958|1|1|0|0|5
Colombia|1961|1|2|0|0|5
Colombia|2000|1|1|1|0|2
Colombia|2007|1|1|0|0|1
Colombia|1951|1|1|0|0|5
Colombia|1957|3|1|0|0|3
Colombia|1967|3|1|1|0|3
Colombia|2017|1|1|0|0|1
Colombia|1983|1|1|0|0|0
Colombia|1977|1|1|0|0|0
Colombia|1941|1|2|0|0|5
Colombia|1950|1|1|1|0|6
Colombia|1970|1|1|0|0|0
Colombia|1964|1|1|0|0|5
Colombia|2014|3|1|0|0|4
Colombia|1975|3|1|1|0|3
Colombia|1991|1|1|0|0|0
Colombia|1979|1|1|0|0|0
Colombia|1942|1|1|0|0|5
Colombia|1958|1|2|0|0|5
Colombia|2015|1|1|1|0|2
Colombia|2019|1|1|0|0|1
Colombia|2012|1|1|0|0|1
Colombia|1986|3|1|0|0|4
Colombia|1999|3|1|1|0|2
Colombia|1991|1|1|0|0|0
Colombia|2019|1|1|0|0|1
Colombia|1947|1|1|0|0|5
Colombia|1957|1|2|0|0|5
Colombia|2001|1|1|1|0|2
Colombia|1992|1|1|0|0|0
Colombia|1989|1|1|0|0|0
Colombia|2006|3|1|0|0|4
Colombia|2004|3|1|1|0|2
Colombia|1972|1|1|0|0|0
Colombia|1985|1|1|0|0|0
Colombia|1956|1|1|0|0|5
Colombia|1953|1|2|0|0|5
Colombia|1983|1|1|1|0|6
Colombia|1975|1|1|0|0|0
Colombia|1994|1|1|0|0|1
Colombia|1943|3|1|0|0|3
Colombia|1951|3|1|1|0|3
Colombia|1959|1|1|0|0|5
Colombia|1957|1|1|0|0|5
Colombia|1960|1|1|0|0|5
Colombia|1981|1|2|0|0|0
Colombia|1970|1|1|1|0|6
Colombia|1993|1|1|0|0|1
Colombia|1970|1|1|0|0|0
Colombia|1958|3|1|0|0|3
Colombia|1968|3|1|1|0|3
Colombia|1961|1|1|0|0|5
Colombia|1982|1|1|0|0|0
Colombia|1988|1|1|0|0|0
Colombia|1941|1|2|0|0|5
Colombia|2011|1|1|1|0|2
Colombia|1995|1|1|0|0|1
Colombia|1966|1|1|0|0|0
Colombia|1948|3|1|0|0|3
Colombia|1956|3|1|1|0|3
Colombia|1988|1|1|0|0|0
Colombia|1943|1|1|0|0|5
Colombia|1970|1|1|0|0|0
Colombia|1988|1|2|0|0|0
Colombia|1990|1|1|1|0|2
Colombia|1950|1|1|0|0|5
Colombia|1986|1|1|0|0|0
Colombia|1991|3|1|0|0|4
Colombia|1976|3|1|1|0|3
Colombia|1975|1|1|0|0|0
Colombia|1982|1|1|0|0|0
Colombia|2003|1|1|0|0|1
Colombia|1966|1|2|0|0|0
Colombia|1964|1|1|1|0|6
Colombia|1950|1|1|0|0|5
Colombia|1952|1|1|0|0|5
Colombia|2011|3|1|0|0|4
Colombia|1958|3|1|1|0|3
Colombia|1963|1|1|0|0|5
Colombia|1979|1|1|0|0|0
Colombia|1987|1|1|0|0|0
Colombia|1953|1|2|0|0|5
Colombia|1942|1|1|1|0|6
Colombia|1961|1|1|0|0|5
Colombia|1993|1|1|0|0|1
Colombia|1985|3|1|0|0|4
Colombia|1982|3|1|1|0|2
Colombia|1963|1|1|0|0|5
Colombia|2011|1|1|0|0|1
Colombia|1952|1|1|0|0|5
Colombia|1944|1|2|0|0|5
Colombia|1943|1|1|1|0|6
Colombia|1946|1|1|0|0|5
Colombia|1952|1|1|0|0|5
Colombia|1955|3|1|0|0|3
Colombia|1944|3|1|1|0|3
Colombia|1972|1|1|0|0|0
Colombia|1955|1|1|0|0|5
Colombia|1958|1|1|0|0|5
Colombia|1952|1|2|0|0|5
Colombia|1944|1|1|1|0|6
Colombia|1997|1|1|0|0|1
Colombia|1973|1|1|0|0|0
Colombia|1963|3|1|0|0|3
Colombia|1973|3|1|1|0|3
Colombia|2012|1|1|0|0|1
Colombia|1953|1|1|0|0|5
Colombia|2014|1|1|0|0|1
Colombia|2009|1|2|0|0|1
Colombia|1947|1|1|1|0|6
Colombia|1995|1|1|0|0|1
Colombia|1976|1|1|0|0|0
Colombia|2016|3|1|0|0|4
Colombia|1986|3|1|1|0|2
Colombia|1983|1|1|0|0|0
Colombia|1987|1|1|0|0|0
Colombia|2007|1|1|0|0|1
Colombia|1959|1|2|0|0|5
Colombia|2009|1|1|1|0|2
Colombia|1995|1|1|0|0|1
Colombia|1994|1|1|0|0|1
Colombia|2015|3|1|0|0|4
Colombia|1948|3|1|1|0|3
Colombia|2016|1|1|0|0|1
Colombia|2006|1|1|0|0|1
Colombia|1979|1|1|0|0|0
Colombia|1980|1|2|0|0|0
Colombia|1998|1|1|1|0|2
Colombia|1957|1|1|0|0|5
Colombia|1964|1|1|0|0|5
Colombia|1970|3|1|0|0|3
Colombia|1962|3|1|1|0|3
Colombia|1950|1|1|0|0|5
Colombia|1981|1|1|0|0|0
Colombia|1969|1|1|0|0|0
Colombia|1951|1|2|0|0|5
Colombia|1952|1|1|1|0|6
Colombia|1956|1|1|0|0|5
Colombia|1977|1|1|0|0|0
Colombia|2008|3|1|0|0|4
Colombia|1970|3|1|1|0|3
Colombia|1995|1|1|0|0|1
Colombia|1942|1|1|0|0|5
Colombia|2010|1|1|0|0|1
Colombia|1997|1|2|0|0|1
Colombia|1970|1|1|1|0|6
Colombia|1977|1|1|0|0|0
Colombia|1986|1|1|0|0|0
Colombia|1954|3|1|0|0|3
Colombia|1961|3|1|1|0|3
Colombia|1965|1|1|0|0|5
Colombia|1956|1|1|0|0|5
Colombia|1977|1|1|0|0|0
Colombia|1954|1|2|0|0|5
Colombia|1987|1|1|1|0|2
Colombia|1960|1|1|0|0|5
Colombia|1965|1|1|0|0|5
Colombia|2015|3|1|0|0|4
Colombia|1980|3|1|1|0|3
Colombia|1994|1|1|0|0|1
Colombia|1971|1|1|0|0|0
Colombia|1964|1|1|0|0|5
Colombia|1946|1|2|0|0|5
Colombia|1951|1|1|1|0|6
Colombia|1944|1|1|0|0|5
Colombia|2019|1|1|0|0|1
Colombia|1940|3|1|0|0|3
Colombia|1948|3|1|1|0|3
Colombia|1982|1|1|0|0|0
Colombia|2008|1|1|0|0|1
Colombia|1949|1|1|0|0|5
Colombia|2013|1|2|0|0|1
Colombia|2015|1|1|1|0|2
Colombia|1974|1|1|0|0|0
Colombia|1969|1|1|0|0|0
Colombia|1996|3|1|0|0|4
Colombia|1967|3|1|1|0|3
Colombia|1968|1|1|0|0|0
Colombia|2004|1|1|0|0|1
Colombia|2006|1|1|0|0|1
Colombia|1978|1|2|0|0|0
Colombia|1980|1|1|1|0|6
Colombia|1993|1|1|0|0|1
Colombia|2014|1|1|0|0|1
Colombia|1949|3|1|0|0|3
Colombia|1972|3|1|1|0|3
Colombia|1978|1|1|0|0|0
Colombia|2002|1|1|0|0|1
Colombia|2000|1|1|0|0|1
Colombia|1992|1|2|0|0|0
Colombia|1984|1|1|1|0|6
Colombia|1947|1|1|0|0|5
Colombia|1958|1|1|0|0|5
Colombia|1977|3|1|0|0|3
Colombia|1947|3|1|1|0|3
Colombia|1983|1|1|0|0|0
Colombia|1960|1|1|0|0|5
Colombia|2018|1|1|0|0|1
Colombia|2009|1|2|0|0|1
Colombia|1954|1|1|1|0|6
Colombia|1985|1|1|0|0|0
Colombia|1962|1|1|0|0|5
Colombia|1954|3|1|0|0|3
Colombia|1980|3|1|1|0|3
Colombia|2011|1|1|0|0|1
Colombia|2014|1|1|0|0|1
Colombia|1967|1|1|0|0|0
Colombia|1953|1|2|0|0|5
Colombia|1943|1|1|1|0|6
Colombia|1984|1|1|0|0|0
Colombia|1940|1|1|0|0|5
Colombia|1968|3|1|0|0|3
Colombia|1989|3|1|1|0|2
Colombia|1957|1|1|0|0|5
Colombia|1995|1|1|0|0|1
Colombia|1942|1|1|0|0|5
Colombia|1965|1|2|0|0|5
Colombia|2016|1|1|1|0|2
Colombia|2003|1|1|0|0|1
Colombia|1959|1|1|0|0|5
Colombia|1973|3|1|0|0|3
Colombia|1982|3|1|1|0|2
Colombia|2000|1|1|0|0|1
Colombia|1967|1|1|0|0|0
Colombia|1947|1|1|0|0|5
Colombia|1965|1|2|0|0|5
Colombia|1968|1|1|1|0|6
Colombia|1982|1|1|0|0|0
Colombia|1978|1|1|0|0|0
Colombia|2000|3|1|0|0|4
Colombia|1948|3|1|1|0|3
Colombia|1997|1|1|0|0|1
Colombia|1964|1|1|0|0|5
Colombia|2000|1|1|0|0|1
Colombia|2020|1|2|0|0|1
Colombia|1948|1|1|1|0|6
Colombia|1954|1|1|0|0|5
Colombia|1949|1|1|0|0|5
Colombia|1944|3|1|0|0|3
Colombia|2013|3|1|1|0|2
Colombia|1962|1|1|0|0|5
Colombia|1965|1|1|0|0|5
Colombia|1959|1|1|0|0|5
Colombia|1945|1|2|0|0|5
Colombia|1991|1|1|1|0|2
Colombia|1962|1|1|0|0|5
Colombia|1945|1|1|0|0|5
Colombia|1941|3|1|0|0|3
Colombia|1988|3|1|1|0|2
Colombia|1998|1|1|0|0|1
Colombia|2018|1|1|0|0|1
Colombia|2017|1|1|0|0|1
Colombia|2001|1|2|0|0|1
Colombia|1943|1|1|1|0|6
Colombia|2000|1|1|0|0|1
Colombia|1952|1|1|0|0|5
Colombia|1991|3|1|0|0|4
Colombia|1962|3|1|1|0|3
Colombia|2015|1|1|0|0|1
Colombia|1977|1|1|0|0|0
Colombia|2009|1|1|0|0|1
Colombia|1940|1|2|0|0|5
Colombia|1979|1|1|1|0|6
Colombia|1953|1|1|0|0|5
Colombia|1964|1|1|0|0|5
Colombia|1998|3|1|0|0|4
Colombia|1984|3|1|1|0|2
Colombia|2004|1|1|0|0|1
Colombia|1956|1|1|0|0|5
Colombia|1941|1|1|0|0|5
Colombia|1949|1|2|0|0|5
Colombia|1990|1|1|1|0|2
Colombia|2001|1|1|0|0|1
Colombia|2001|1|1|0|0|1
Colombia|1942|3|1|0|0|3
Colombia|1956|3|1|1|0|3
Colombia|1943|1|1|0|0|5
Colombia|1955|1|1|0|0|5
Colombia|1963|1|1|0|0|5
Colombia|1940|1|2|0|0|5
Colombia|2012|1|1|1|0|2
Colombia|1990|1|1|0|0|0
Colombia|1950|1|1|0|0|5
Colombia|1947|3|1|0|0|3
Colombia|1973|3|1|1|0|3
Colombia|2005|1|1|0|0|1
Colombia|1947|1|1|0|0|5
Colombia|1983|1|1|0|0|0
Colombia|1958|1|2|0|0|5
Colombia|1995|1|1|1|0|2
Colombia|1950|1|1|0|0|5
Colombia|2012|1|1|0|0|1
Colombia|1940|3|1|0|0|3
Colombia|1959|3|1|1|0|3
