departamento_hecho|lugar_zona|anio_fin|responsables_identificados|tc_tc_politico|v_amenaza|tipo_amenaza|cluster
Arauca|Rural|2016|0|0|-2.387878788|Sin Especificar|0
Arauca|Urbana|2009|0|0|-2.4727272730000003|Sin Especificar|1
ArchipiÃ©lago De San AndrÃ©s, Providencia Y Santa Catalina|Rural|1982|0|0|-2.557575758|Sin Especificar|0
ArchipiÃ©lago De San AndrÃ©s, Providencia Y Santa Catalina|Rural|1994|1|0|-2.6424242419999997|Sin Especificar|0
AtlÃ¡ntico|Rural|2019|0|0|-2.727272727|Sin Especificar|0
AtlÃ¡ntico|Urbana|1968|0|0|-2.812121212|Colectivo|1
AtlÃ¡ntico|Rural|2011|0|0|-2.896969697|Sin Especificar|0
AtlÃ¡ntico|Rural|2016|1|0|-2.981818182|Individual|2
AtlÃ¡ntico|Rural|1983|0|0|-3.066666667|Sin Especificar|0
AtlÃ¡ntico|Rural|2015|0|0|-3.151515152|Sin Especificar|0
BogotÃ¡|Rural|2020|0|0|-3.236363636|Sin Especificar|0
BogotÃ¡|Urbana|2018|0|0|-3.3212121210000003|Sin Especificar|1
BolÃ­var|Rural|1999|1|0|-3.406060606|Sin Especificar|0
BolÃ­var|Rural|1993|0|0|-3.4909090910000002|Sin Especificar|0
BolÃ­var|Rural|1982|0|0|-3.5757575760000004|Sin Especificar|0
BolÃ­var|Urbana|1995|0|0|-3.660606061|Colectivo|1
BolÃ­var|Rural|2008|1|0|-3.745454545|Sin Especificar|0
BolÃ­var|Rural|2017|0|0|-3.83030303|Individual|2
BolÃ­var|Rural|1985|0|0|-3.915151515|Sin Especificar|0
BolÃ­var|Rural|1973|0|0|-4.0|Sin Especificar|0
BolÃ­var|Rural|2020|0|0|-4.084848485|Sin Especificar|0
BolÃ­var|Urbana|2001|1|0|-4.16969697|Sin Especificar|1
BolÃ­var|Rural|2001|0|0|-4.254545455|Sin Especificar|0
BolÃ­var|Rural|1981|0|0|-4.339393939|Sin Especificar|0
BolÃ­var|Rural|2009|0|0|-4.424242424|Sin Especificar|0
BolÃ­var|Urbana|2009|1|0|-4.509090909|Colectivo|1
BolÃ­var|Rural|1995|0|0|-4.5939393939999995|Sin Especificar|0
BolÃ­var|Rural|2020|0|0|-4.678787879|Individual|2
BolÃ­var|Rural|2001|0|0|-4.763636364|Sin Especificar|0
BolÃ­var|Rural|2019|0|0|-4.848484848|Sin Especificar|0
BolÃ­var|Rural|2012|1|0|-4.933333333|Sin Especificar|0
BolÃ­var|Urbana|2012|0|0|-5.018181818|Sin Especificar|1
BolÃ­var|Rural|2015|0|0|-5.103030303|Sin Especificar|0
BolÃ­var|Rural|2012|0|0|-5.187878788|Sin Especificar|0
BolÃ­var|Rural|1996|1|0|-5.272727273|Sin Especificar|0
BolÃ­var|Urbana|1951|0|0|-5.357575758|Colectivo|1
BolÃ­var|Rural|1986|0|0|-5.442424242|Sin Especificar|0
BolÃ­var|Rural|2020|0|0|-5.527272727000001|Individual|2
BolÃ­var|Rural|1977|0|0|-5.612121212000001|Sin Especificar|0
BolÃ­var|Rural|1995|1|0|-5.696969697|Sin Especificar|0
BolÃ­var|Rural|1989|0|0|-5.781818182|Sin Especificar|0
BolÃ­var|Urbana|2016|0|0|-5.8666666670000005|Sin Especificar|1
BoyacÃ¡|Rural|2011|0|0|-5.951515152000001|Sin Especificar|0
BoyacÃ¡|Rural|2008|1|0|-6.036363636|Sin Especificar|0
BoyacÃ¡|Rural|2018|0|0|-6.121212121|Sin Especificar|0
BoyacÃ¡|Urbana|1989|0|0|-6.206060606|Colectivo|1
BoyacÃ¡|Rural|2011|0|0|-6.2909090910000005|Sin Especificar|0
BoyacÃ¡|Rural|2008|0|0|-6.375757576|Individual|2
BoyacÃ¡|Rural|1983|1|0|-6.460606061|Sin Especificar|0
BoyacÃ¡|Rural|2016|0|0|-6.545454545|Sin Especificar|0
BoyacÃ¡|Rural|2012|0|0|-6.63030303|Sin Especificar|0
BoyacÃ¡|Urbana|1970|0|0|-6.715151515|Sin Especificar|1
BoyacÃ¡|Rural|1997|1|0|-6.8|Sin Especificar|0
BoyacÃ¡|Rural|1997|0|0|-6.884848485|Sin Especificar|0
BoyacÃ¡|Rural|2020|0|0|-6.96969697|Sin Especificar|0
BoyacÃ¡|Urbana|2018|0|0|-7.054545455|Colectivo|1
BoyacÃ¡|Rural|1985|0|0|-7.139393939|Sin Especificar|0
BoyacÃ¡|Rural|1980|1|0|-7.224242424|Individual|2
BoyacÃ¡|Rural|1967|0|0|-7.309090909|Sin Especificar|0
BoyacÃ¡|Rural|1952|0|0|-7.3939393939999976|Sin Especificar|0
BoyacÃ¡|Rural|1983|0|0|-7.478787878999999|Sin Especificar|0
BoyacÃ¡|Urbana|1982|1|0|-7.563636364|Sin Especificar|1
BoyacÃ¡|Rural|2019|0|0|-7.648484848|Sin Especificar|0
BoyacÃ¡|Rural|2020|0|0|-7.733333332999999|Sin Especificar|0
BoyacÃ¡|Rural|2020|0|0|-7.818181817999999|Sin Especificar|0
BoyacÃ¡|Urbana|2012|0|0|-7.9030303029999995|Colectivo|1
BoyacÃ¡|Rural|1995|1|0|-7.987878788|Sin Especificar|0
BoyacÃ¡|Rural|1972|0|0|-8.072727273|Individual|2
BoyacÃ¡|Rural|2018|0|0|-8.157575758|Sin Especificar|0
BoyacÃ¡|Rural|2016|0|0|-8.242424242|Sin Especificar|0
BoyacÃ¡|Rural|2017|1|0|-8.327272727|Sin Especificar|0
BoyacÃ¡|Urbana|2008|0|0|-8.412121212|Sin Especificar|1
BoyacÃ¡|Rural|2011|0|0|-8.496969697|Sin Especificar|0
BoyacÃ¡|Rural|1961|0|0|-8.581818182000001|Sin Especificar|0
BoyacÃ¡|Rural|2010|0|0|-8.666666667000001|Sin Especificar|0
BoyacÃ¡|Urbana|1997|1|0|-8.751515152|Colectivo|1
BoyacÃ¡|Rural|1962|0|0|-8.836363636|Sin Especificar|0
BoyacÃ¡|Rural|1991|0|0|-8.921212121|Individual|2
Caldas|Rural|2002|0|0|-9.006060606|Sin Especificar|0
Caldas|Rural|1944|1|0|-9.090909091|Sin Especificar|0
Caldas|Rural|1991|0|0|-9.175757576|Sin Especificar|0
Caldas|Urbana|2009|0|0|-9.260606061|Sin Especificar|1
Caldas|Rural|2020|0|0|-9.345454545|Sin Especificar|0
Caldas|Rural|1991|0|0|-9.43030303|Sin Especificar|0
Caldas|Rural|1995|1|0|-9.515151515|Sin Especificar|0
Caldas|Urbana|1989|0|0|-9.6|Colectivo|1
Caldas|Rural|2019|0|0|-9.684848485|Sin Especificar|0
Caldas|Rural|1975|0|0|-9.76969697|Individual|2
Caldas|Rural|2019|1|0|-9.854545455|Sin Especificar|0
Caldas|Rural|1988|0|0|-9.939393939|Sin Especificar|0
Caldas|Rural|2008|0|0|-10.02424242|Sin Especificar|0
Caldas|Urbana|2005|0|0|-10.10909091|Sin Especificar|1
Caldas|Rural|2010|0|0|-10.19393939|Sin Especificar|0
Caldas|Rural|2006|1|0|-10.27878788|Sin Especificar|0
Caldas|Rural|2020|0|0|-10.36363636|Sin Especificar|0
Caldas|Urbana|2011|0|0|-10.44848485|Colectivo|1
Caldas|Rural|2020|0|0|-10.53333333|Sin Especificar|0
Caldas|Rural|2006|1|0|-10.61818182|Individual|2
Caldas|Rural|1998|0|0|-10.703030300000002|Sin Especificar|0
Caldas|Rural|2017|0|0|-10.78787879|Sin Especificar|0
Caldas|Rural|2008|0|0|-10.87272727|Sin Especificar|0
CaquetÃ¡|Urbana|1990|0|0|-10.95757576|Sin Especificar|1
CaquetÃ¡|Rural|2017|1|0|-11.04242424|Sin Especificar|0
CaquetÃ¡|Rural|2011|0|0|-11.12727273|Sin Especificar|0
CaquetÃ¡|Rural|2020|0|0|-11.21212121|Sin Especificar|0
CaquetÃ¡|Urbana|2011|0|0|-11.296969699999998|Colectivo|1
CaquetÃ¡|Rural|2020|1|0|-11.38181818|Sin Especificar|0
CaquetÃ¡|Rural|1985|0|0|-11.46666667|Individual|2
CaquetÃ¡|Rural|2020|0|0|-11.55151515|Sin Especificar|0
CaquetÃ¡|Rural|2019|0|0|-11.63636364|Sin Especificar|0
CaquetÃ¡|Rural|2012|0|0|-11.72121212|Sin Especificar|0
CaquetÃ¡|Urbana|1983|1|0|-11.80606061|Sin Especificar|1
CaquetÃ¡|Rural|1943|0|0|-11.89090909|Sin Especificar|0
CaquetÃ¡|Rural|2011|0|0|-11.97575758|Sin Especificar|0
CaquetÃ¡|Rural|2018|0|0|-12.06060606|Sin Especificar|0
CaquetÃ¡|Urbana|2014|1|0|-12.14545455|Colectivo|1
CaquetÃ¡|Rural|1962|0|0|-12.23030303|Sin Especificar|0
CaquetÃ¡|Rural|2000|0|0|-12.31515152|Individual|2
Casanare|Rural|1958|0|0|-12.4|Sin Especificar|0
Casanare|Rural|2014|0|0|-12.48484848|Sin Especificar|0
Casanare|Rural|1991|1|0|-12.56969697|Sin Especificar|0
Casanare|Urbana|2016|0|0|-12.65454545|Sin Especificar|1
Casanare|Rural|2013|0|0|-12.73939394|Sin Especificar|0
Casanare|Rural|1987|0|0|-12.82424242|Sin Especificar|0
Casanare|Rural|2005|1|0|-12.90909091|Sin Especificar|0
Casanare|Urbana|2003|0|0|-12.99393939|Colectivo|1
Casanare|Rural|1990|0|0|-13.07878788|Sin Especificar|0
Casanare|Rural|2016|0|0|-13.16363636|Individual|2
Casanare|Rural|2014|0|0|-13.24848485|Sin Especificar|0
Casanare|Rural|1975|1|0|-13.33333333|Sin Especificar|0
Casanare|Rural|1985|0|0|-13.41818182|Sin Especificar|0
Casanare|Urbana|2017|0|0|-13.5030303|Sin Especificar|1
Casanare|Rural|2004|0|0|-13.58787879|Sin Especificar|0
Casanare|Rural|2017|1|0|-13.67272727|Sin Especificar|0
Casanare|Rural|1979|0|0|-13.75757576|Sin Especificar|0
Casanare|Urbana|2013|0|0|-13.84242424|Colectivo|1
Casanare|Rural|2009|0|0|-13.92727273|Sin Especificar|0
Casanare|Rural|1999|0|0|-14.01212121|Individual|2
Cauca|Rural|2008|1|0|-14.096969699999999|Sin Especificar|0
Cauca|Rural|2015|0|0|-14.18181818|Sin Especificar|0
Cauca|Rural|1996|0|0|-14.26666667|Sin Especificar|0
Cauca|Urbana|2005|0|0|-14.35151515|Sin Especificar|1
Cauca|Rural|1967|1|0|-14.43636364|Sin Especificar|0
Cauca|Rural|2012|0|0|-14.52121212|Sin Especificar|0
Cauca|Rural|2020|0|0|-14.60606061|Sin Especificar|0
Cauca|Urbana|1970|0|0|-14.69090909|Colectivo|1
Cauca|Rural|1979|0|0|-14.77575758|Sin Especificar|0
Cauca|Rural|2015|1|0|-14.86060606|Individual|2
Cauca|Rural|2019|0|0|-14.94545455|Sin Especificar|0
Cauca|Rural|1984|0|0|-15.03030303|Sin Especificar|0
Cauca|Rural|1973|0|0|-15.11515152|Sin Especificar|0
Cauca|Urbana|1993|1|0|-15.2|Sin Especificar|1
Cauca|Rural|1987|0|0|-15.28484848|Sin Especificar|0
Cauca|Rural|1994|0|0|-15.36969697|Sin Especificar|0
Cauca|Rural|2020|0|0|-15.45454545|Sin Especificar|0
Cauca|Urbana|1993|0|0|-15.53939394|Colectivo|1
Cauca|Rural|1997|1|0|-15.62424242|Sin Especificar|0
Cauca|Rural|2014|0|0|-15.70909091|Individual|2
Cauca|Rural|2014|0|0|-15.79393939|Sin Especificar|0
Cauca|Rural|2015|0|0|-15.87878788|Sin Especificar|0
Cauca|Rural|1995|1|0|-15.96363636|Sin Especificar|0
Cauca|Urbana|1992|0|0|-16.04848485|Sin Especificar|1
Cauca|Rural|1967|0|0|-16.13333333|Sin Especificar|0
Cauca|Rural|2016|0|0|-16.21818182|Sin Especificar|0
Cauca|Rural|1993|0|0|-16.303030300000003|Sin Especificar|0
Cauca|Urbana|1980|1|0|-16.38787879|Colectivo|1
Cauca|Rural|2002|0|0|-16.47272727|Sin Especificar|0
Cauca|Rural|1962|0|0|-16.55757576|Individual|2
Cauca|Rural|1989|0|0|-16.64242424|Sin Especificar|0
Cauca|Rural|2012|1|0|-16.72727273|Sin Especificar|0
Cauca|Rural|1987|0|0|-16.81212121|Sin Especificar|0
Cauca|Urbana|2018|0|0|-16.8969697|Sin Especificar|1
Cauca|Rural|2007|0|0|-16.98181818|Sin Especificar|0
Cauca|Rural|2000|0|0|-17.06666667|Sin Especificar|0
Cauca|Rural|1994|1|0|-17.15151515|Sin Especificar|0
Cauca|Urbana|2010|0|0|-17.23636364|Colectivo|1
Cauca|Rural|2002|0|0|-17.32121212|Sin Especificar|0
Cauca|Rural|2017|0|0|-17.40606061|Individual|2
Cauca|Rural|1967|1|0|-17.49090909|Sin Especificar|0
Cauca|Rural|2017|0|0|-17.57575758|Sin Especificar|0
Cauca|Rural|2012|0|0|-17.66060606|Sin Especificar|0
Cesar|Urbana|1971|0|0|-17.74545455|Sin Especificar|1
Cesar|Rural|1996|0|0|-17.83030303|Sin Especificar|0
Cesar|Rural|1979|1|0|-17.91515152|Sin Especificar|0
Cesar|Rural|2020|0|0|-18.0|Sin Especificar|0
Cesar|Urbana|2008|0|0|-18.08484848|Colectivo|1
Cesar|Rural|1969|0|0|-18.16969697|Sin Especificar|0
Cesar|Rural|1974|1|0|-18.25454545|Individual|2
Cesar|Rural|2013|0|0|-18.33939394|Sin Especificar|0
Cesar|Rural|2016|0|0|-18.42424242|Sin Especificar|0
Cesar|Rural|1989|0|0|-18.50909091|Sin Especificar|0
Cesar|Urbana|1985|0|0|-18.59393939|Sin Especificar|1
Cesar|Rural|2013|1|0|-18.67878788|Sin Especificar|0
Cesar|Rural|2020|0|0|-18.76363636|Sin Especificar|0
Cesar|Rural|1978|0|0|-18.84848485|Sin Especificar|0
Cesar|Urbana|2018|0|0|-18.93333333|Colectivo|1
Cesar|Rural|2013|1|0|-19.01818182|Sin Especificar|0
Cesar|Rural|1986|0|0|-19.1030303|Individual|2
Cesar|Rural|2013|0|0|-19.18787879|Sin Especificar|0
Cesar|Rural|2008|0|0|-19.27272727|Sin Especificar|0
Cesar|Rural|2020|0|0|-19.35757576|Sin Especificar|0
Cesar|Urbana|1974|1|0|-19.44242424|Sin Especificar|1
Cesar|Rural|2011|0|0|-19.52727273|Sin Especificar|0
Cesar|Rural|1973|0|0|-19.61212121|Sin Especificar|0
Cesar|Rural|2018|0|0|-19.696969699999997|Sin Especificar|0
Cesar|Urbana|1974|1|0|-19.78181818|Colectivo|1
Cesar|Rural|1966|0|0|-19.86666667|Sin Especificar|0
ChocÃ³|Rural|2015|0|0|-19.95151515|Individual|2
ChocÃ³|Rural|2020|0|0|-20.03636364|Sin Especificar|0
ChocÃ³|Rural|2001|0|0|-20.12121212|Sin Especificar|0
ChocÃ³|Rural|1989|1|0|-20.20606061|Sin Especificar|0
ChocÃ³|Urbana|1980|0|0|-20.29090909|Sin Especificar|1
ChocÃ³|Rural|2017|0|0|-20.37575758|Sin Especificar|0
ChocÃ³|Rural|2018|0|0|-20.46060606|Sin Especificar|0
ChocÃ³|Rural|1988|1|0|-20.54545455|Sin Especificar|0
ChocÃ³|Urbana|2008|0|0|-20.63030303|Colectivo|1
ChocÃ³|Rural|2004|0|0|-20.71515152|Sin Especificar|0
ChocÃ³|Rural|2005|0|0|-20.8|Individual|2
ChocÃ³|Rural|2009|0|0|-20.88484848|Sin Especificar|0
ChocÃ³|Rural|1960|1|0|-20.96969697|Sin Especificar|0
ChocÃ³|Rural|1981|0|0|-21.05454545|Sin Especificar|0
ChocÃ³|Urbana|2017|0|0|-21.13939394|Sin Especificar|1
ChocÃ³|Rural|2020|0|0|-21.22424242|Sin Especificar|0
ChocÃ³|Rural|2020|1|0|-21.30909091|Sin Especificar|0
ChocÃ³|Rural|2014|0|0|-21.39393939|Sin Especificar|0
ChocÃ³|Urbana|1986|0|0|-21.47878788|Colectivo|1
ChocÃ³|Rural|2004|0|0|-21.56363636|Sin Especificar|0
ChocÃ³|Rural|2010|0|0|-21.64848485|Individual|2
ChocÃ³|Rural|2018|1|0|-21.73333333|Sin Especificar|0
ChocÃ³|Rural|1957|0|0|-21.81818182|Sin Especificar|0
ChocÃ³|Rural|2013|0|0|-21.9030303|Sin Especificar|0
ChocÃ³|Urbana|2020|0|0|-21.98787879|Sin Especificar|1
ChocÃ³|Rural|2008|1|0|-22.07272727|Sin Especificar|0
ChocÃ³|Rural|1990|0|0|-22.15757576|Sin Especificar|0
Cundinamarca|Rural|2017|0|0|-22.24242424|Sin Especificar|0
Cundinamarca|Urbana|1966|0|0|-22.32727273|Colectivo|1
Cundinamarca|Rural|1988|0|0|-22.41212121|Sin Especificar|0
Cundinamarca|Rural|1997|1|0|-22.496969699999998|Individual|2
Cundinamarca|Rural|2018|0|0|-22.58181818|Sin Especificar|0
Cundinamarca|Rural|2020|0|0|-22.66666667|Sin Especificar|0
Cundinamarca|Rural|1984|0|0|-22.75151515|Sin Especificar|0
Cundinamarca|Urbana|1999|1|0|-22.83636364|Sin Especificar|1
Cundinamarca|Rural|1982|0|0|-22.92121212|Sin Especificar|0
Cundinamarca|Rural|2019|0|0|-23.00606061|Sin Especificar|0
Cundinamarca|Rural|2011|0|0|-23.09090909|Sin Especificar|0
Cundinamarca|Urbana|2017|0|0|-23.17575758|Colectivo|1
Cundinamarca|Rural|1999|1|0|-23.26060606|Sin Especificar|0
Cundinamarca|Rural|2014|0|0|-23.34545455|Individual|2
Cundinamarca|Rural|2017|0|0|-23.43030303|Sin Especificar|0
Cundinamarca|Rural|2008|0|0|-23.51515152|Sin Especificar|0
Cundinamarca|Rural|2020|1|0|-23.6|Sin Especificar|0
Cundinamarca|Urbana|2020|0|0|-23.68484848|Sin Especificar|1
Cundinamarca|Rural|1981|0|0|-23.76969697|Sin Especificar|0
Cundinamarca|Rural|1993|0|0|-23.85454545|Sin Especificar|0
Cundinamarca|Rural|2020|0|0|-23.93939394|Sin Especificar|0
Cundinamarca|Urbana|2019|1|0|-24.02424242|Colectivo|1
Cundinamarca|Rural|1983|0|0|-24.10909091|Sin Especificar|0
Cundinamarca|Rural|2013|0|0|-24.19393939|Individual|2
Cundinamarca|Rural|2015|0|0|-24.27878788|Sin Especificar|0
Cundinamarca|Rural|1946|1|0|-24.36363636|Sin Especificar|0
Cundinamarca|Rural|2004|0|0|-24.44848485|Sin Especificar|0
Cundinamarca|Urbana|1993|0|0|-24.53333333|Sin Especificar|1
Cundinamarca|Rural|2019|0|0|-24.61818182|Sin Especificar|0
Cundinamarca|Rural|2017|0|0|-24.7030303|Sin Especificar|0
Cundinamarca|Rural|2019|1|0|-24.78787879|Sin Especificar|0
Cundinamarca|Urbana|1996|0|0|-24.87272727|Colectivo|1
Cundinamarca|Rural|2020|0|0|-24.95757576|Sin Especificar|0
Cundinamarca|Rural|2010|0|0|-25.04242424|Individual|2
Cundinamarca|Rural|2004|1|0|-25.12727273|Sin Especificar|0
Cundinamarca|Rural|2020|0|0|-25.21212121|Sin Especificar|0
Cundinamarca|Rural|1976|0|0|-25.2969697|Sin Especificar|0
Cundinamarca|Urbana|2014|0|0|-25.38181818|Sin Especificar|1
Cundinamarca|Rural|1987|0|0|-25.46666667|Sin Especificar|0
Cundinamarca|Rural|1948|1|0|-25.55151515|Sin Especificar|0
Cundinamarca|Rural|2019|0|0|-25.63636364|Sin Especificar|0
Cundinamarca|Urbana|2014|0|0|-25.72121212|Colectivo|1
Cundinamarca|Rural|1977|0|0|-25.80606061|Sin Especificar|0
Cundinamarca|Rural|2008|1|0|-25.89090909|Individual|2
Cundinamarca|Rural|2008|0|0|-25.97575758|Sin Especificar|0
CÃ³rdoba|Rural|1955|0|0|-26.06060606|Sin Especificar|0
CÃ³rdoba|Rural|2012|0|0|-26.14545455|Sin Especificar|0
CÃ³rdoba|Urbana|2010|0|0|-26.23030303|Sin Especificar|1
CÃ³rdoba|Rural|1999|1|0|-26.31515152|Sin Especificar|0
